file number,Thickness,Bias (top) Voltage,Sample (bottom) Voltage,Current,Resistance,Resistivity
5111,0.075,18.755,14.59,0.0018755,7779.258864,0.00002042055452
5112,0.077,21.285,14.46,0.0021285,6793.516561,0.00001830852713
5113,0.078,22.311,14.22,0.0022311,6373.537717,0.00001739975797
5114,0.079,23.32,13.97,0.002332,5990.566038,0.00001656391509
5115,0.08,24.177,13.69,0.0024177,5662.406419,0.00001585473797
5116,0.081,25.056,13.41,0.0025056,5352.011494,0.00001517295259
5117,0.082,25.87,13.12,0.002587,5071.511403,0.00001455523773
5118,0.083,26.628,12.87,0.0026628,4833.258224,0.00001404061514
5119,0.084,27.402,12.57,0.0027402,4587.256405,0.00001348653383
5120,0.085,28.197,12.29,0.0028197,4358.619711,0.00001296689364
5121,0.086,28.894,12,0.0028894,4153.111373,0.00001250086523
5122,0.087,29.656,11.7,0.0029656,3945.238738,0.00001201325196
5123,0.088,30.096,11.49,0.0030096,3817.783094,0.00001175877193
5124,0.089,30.652,11.28,0.0030652,3680.02088,0.00001146326504
5125,0.09,31.117,11.06,0.0031117,3554.327217,0.00001119613073
5126,0.091,31.62,10.89,0.003162,3444.02277,0.00001096921252
5127,0.092,32.045,10.71,0.0032045,3342.175066,0.00001076180371
5128,0.093,32.503,10.51,0.0032503,3233.547673,0.00001052519767
5129,0.094,32.9,10.33,0.00329,3139.817629,0.00001033
5130,0.095,33.278,10.16,0.0033278,3053.068093,0.00001015145141
5131,0.096,33.686,9.98,0.0033686,2962.655109,0.000009954521166
5132,0.097,34.038,9.81,0.0034038,2882.072977,0.000009784637758
5133,0.098,34.323,9.71,0.0034323,2829.006788,0.000009703493284
5134,0.099,34.626,9.57,0.0034626,2763.819095,0.000009576633166
5135,0.1,34.984,9.42,0.0034984,2692.659501,0.000009424308255
5136,0.101,35.264,9.29,0.0035264,2634.414701,0.000009312655966
5137,0.102,35.6,9.16,0.00356,2573.033708,0.000009185730337
5138,0.103,35.875,9.01,0.0035875,2511.498258,0.00000905395122
5139,0.104,36.101,8.91,0.0036101,2468.075677,0.000008983795463
5140,0.105,36.384,8.79,0.0036384,2415.897098,0.000008878421834
5141,0.106,36.655,8.67,0.0036655,2365.298049,0.000008775255763
5142,0.107,36.888,8.54,0.0036888,2315.116027,0.000008670109521
5143,0.108,37.14,8.45,0.003714,2275.175013,0.000008600161551
5144,0.109,37.392,8.34,0.0037392,2230.42362,0.00000850906611
5145,0.11,37.606,8.24,0.0037606,2191.139712,0.00000843588789
5146,0.111,37.858,8.14,0.0037858,2150.139997,0.000008353293888
5147,0.112,38.06,8.02,0.003806,2107.199159,0.000008260220704
5148,0.113,38.268,7.94,0.0038268,2074.840598,0.000008205994565
5149,0.114,38.465,7.85,0.0038465,2040.816327,0.000008142857143
5150,0.115,38.676,7.77,0.0038676,2008.997828,0.000008086216258
5151,0.116,38.882,7.66,0.0038882,1970.063268,0.00000799845687
5152,0.117,39.041,7.59,0.0039041,1944.110038,0.000007961130606
5153,0.118,39.205,7.53,0.0039205,1920.673383,0.000007932381074
5154,0.119,39.377,7.45,0.0039377,1891.967392,0.000007880044188
5155,0.12,39.547,7.36,0.0039547,1861.076694,0.000007816522113
5156,0.121,39.704,7.28,0.0039704,1833.568406,0.0000077651622
5157,0.122,39.865,7.21,0.0039865,1808.604039,0.000007722739245
5158,0.123,40.016,7.15,0.0040016,1786.785286,0.000007692110656
5159,0.124,40.15,7.09,0.004015,1765.877958,0.000007663910336
5160,0.125,40.297,7.01,0.0040297,1739.583592,0.000007610678214
5161,0.126,40.438,6.96,0.0040438,1721.153371,0.000007590286364
5162,0.127,40.562,6.89,0.0040562,1698.63419,0.000007550428973
5163,0.128,40.699,6.83,0.0040699,1678.173911,0.000007518219121
5164,0.129,40.83,6.78,0.004083,1660.543718,0.000007497354886
5165,0.13,40.972,6.72,0.0040972,1640.144489,0.000007462657425
5166,0.131,41.104,6.66,0.0041104,1620.280265,0.000007428985014
5167,0.132,41.217,6.61,0.0041217,1603.707208,0.000007409127302
5168,0.133,41.338,6.56,0.0041338,1586.917606,0.000007387101456
5169,0.134,41.456,6.49,0.0041456,1565.515245,0.000007342266499
5170,0.135,41.561,6.44,0.0041561,1549.529607,0.000007321527393
5171,0.136,41.685,6.38,0.0041685,1530.526568,0.000007285306465
5172,0.137,41.788,6.35,0.0041788,1519.574998,0.000007286362114
5173,0.138,41.886,6.31,0.0041886,1506.469942,0.000007276249821
5174,0.139,41.988,6.26,0.0041988,1490.902163,0.000007253239021
5175,0.14,42.084,6.21,0.0042084,1475.620188,0.000007230538922
5176,0.141,42.197,6.16,0.0042197,1459.819418,0.00000720420883
5177,0.142,42.3,6.11,0.00423,1444.444444,0.000007178888889
5178,0.143,42.397,6.06,0.0042397,1429.346416,0.000007153878812
5179,0.144,42.494,6.02,0.0042494,1416.670589,0.000007140019767
5180,0.145,42.595,5.99,0.0042595,1406.268341,0.000007136811832
5181,0.146,42.699,5.94,0.0042699,1391.133282,0.00000710869107
5182,0.147,42.781,5.9,0.0042781,1379.116898,0.000007095556439
5183,0.148,42.859,5.86,0.0042859,1367.274085,0.000007082479759
5184,0.149,42.95,5.83,0.004295,1357.392317,0.000007078800931
5185,0.15,43.036,5.78,0.0043036,1343.061623,0.00000705107352
5186,0.151,43.14,5.74,0.004314,1330.551692,0.000007031965693
5187,0.152,43.219,5.69,0.0043219,1316.550591,0.000007004049145
5188,0.153,43.296,5.65,0.0043296,1304.970436,0.000006988116685
5189,0.154,43.381,5.61,0.0043381,1293.192872,0.000006970309583
5190,0.155,43.472,5.58,0.0043472,1283.584836,0.000006963447736
5191,0.156,43.543,5.54,0.0043543,1272.305537,0.000006946788232
5192,0.157,43.623,5.51,0.0043623,1263.095156,0.000006940707883
5193,0.158,43.699,5.48,0.0043699,1254.033273,0.000006890912836
5194,0.159,43.762,5.44,0.0043762,1243.08761,0.000006917782551
5195,0.16,43.837,5.41,0.0043837,1234.117298,0.00000691105687
5196,0.161,43.907,5.38,0.0043907,1225.317148,0.000006904662127
5197,0.162,43.967,5.34,0.0043967,1214.547274,0.000006886483044
5198,0.163,44.041,5.31,0.0044041,1205.694694,0.000006878488227
5199,0.164,44.093,5.29,0.0044093,1199.73692,0.000006886489919
5200,0.165,44.159,5.26,0.0044159,1191.150162,0.000006878892185
5201,0.166,44.228,5.23,0.0044228,1182.508818,0.000006870376232
5202,0.167,44.288,5.2,0.0044288,1174.132948,0.000006862807081
5203,0.168,44.363,5.18,0.0044363,1167.6397,0.000006865721435
5204,0.169,44.434,5.13,0.0044434,1154.521313,0.000006828993563
5205,0.17,44.506,5.11,0.0044506,1148.159799,0.000006831550802
5206,0.171,44.572,5.08,0.0044572,1139.728978,0.000006821277932
5207,0.172,44.622,5.06,0.0044622,1133.969791,0.00000682649814
5208,0.173,44.714,5.01,0.0044714,1120.454444,0.000006784351657
5209,0.174,44.762,4.99,0.0044762,1114.784862,0.000006789039811
5210,0.175,44.827,4.95,0.0044827,1104.245209,0.000006763501907
5211,0.176,44.916,4.91,0.0044916,1093.151661,0.000006733814231
5212,0.177,44.989,4.89,0.0044989,1086.932361,0.000006733545978
5213,0.178,45.045,4.85,0.0045045,1076.701077,0.000006707847708
5214,0.179,45.11,4.82,0.004511,1068.499224,0.000006694147639
5215,0.18,45.166,4.79,0.0045166,1060.532259,0.00000668135323
5216,0.181,45.225,4.78,0.0045225,1056.937535,0.000006695699281
5217,0.182,45.28,4.75,0.004528,1049.028269,0.000006682310071
5218,0.183,45.327,4.72,0.0045327,1041.321949,0.000006669667086
5219,0.19,45.707,4.55,0.0045707,995.4711532,0.000006619883169
5220,0.2,46.166,4.34,0.0046166,940.0857774,0.000006580600442
5221,0.21,46.563,4.16,0.0046563,893.4132251,0.000006566587204
5222,0.22,46.95,3.99,0.004695,849.8402556,0.000006543769968
5223,0.23,47.285,3.84,0.0047285,812.0968595,0.000006537379719
