Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,960.45
Elapsed Live Time:,848.8
Start Time:,April 11, 2023, 04:09:52
End Time:,April 11, 2023, 04:25:53
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,1
4,,0
5,,2
6,,0
7,,0
8,,0
9,,2
10,,1
11,,3
12,,0
13,,0
14,,2
15,,2
16,,1
17,,0
18,,1
19,,0
20,,1
21,,0
22,,0
23,,1
24,,0
25,,0
26,,6
27,,11
28,,7
29,,10
30,,11
31,,8
32,,13
33,,10
34,,13
35,,40
36,,68
37,,141
38,,1720
39,,85693
40,,2745
41,,316
42,,223
43,,205
44,,171
45,,147
46,,117
47,,105
48,,75
49,,52
50,,53
51,,34
52,,44
53,,27
54,,24
55,,13
56,,19
57,,13
58,,17
59,,12
60,,17
61,,19
62,,21
63,,16
64,,19
65,,20
66,,22
67,,23
68,,20
69,,23
70,,10
71,,21
72,,21
73,,20
74,,12
75,,14
76,,16
77,,16
78,,19
79,,15
80,,13
81,,20
82,,18
83,,24
84,,13
85,,21
86,,17
87,,21
88,,34
89,,16
90,,21
91,,20
92,,16
93,,16
94,,23
95,,14
96,,21
97,,13
98,,18
99,,17
100,,18
101,,15
102,,19
103,,13
104,,24
105,,20
106,,16
107,,15
108,,19
109,,28
110,,17
111,,13
112,,22
113,,14
114,,15
115,,23
116,,22
117,,19
118,,31
119,,16
120,,20
121,,14
122,,21
123,,20
124,,24
125,,20
126,,17
127,,26
128,,23
129,,27
130,,23
131,,33
132,,19
133,,27
134,,17
135,,25
136,,33
137,,25
138,,23
139,,32
140,,30
141,,31
142,,33
143,,34
144,,28
145,,32
146,,22
147,,25
148,,23
149,,18
150,,23
151,,26
152,,17
153,,21
154,,19
155,,21
156,,26
157,,20
158,,25
159,,18
160,,33
161,,20
162,,24
163,,22
164,,21
165,,25
166,,25
167,,25
168,,30
169,,17
170,,37
171,,30
172,,20
173,,21
174,,31
175,,17
176,,22
177,,20
178,,31
179,,23
180,,26
181,,19
182,,23
183,,23
184,,27
185,,27
186,,19
187,,28
188,,24
189,,23
190,,23
191,,29
192,,24
193,,20
194,,11
195,,24
196,,38
197,,18
198,,32
199,,24
200,,33
201,,27
202,,21
203,,21
204,,24
205,,29
206,,36
207,,18
208,,13
209,,24
210,,30
211,,23
212,,32
213,,22
214,,26
215,,25
216,,20
217,,21
218,,24
219,,24
220,,28
221,,23
222,,21
223,,31
224,,21
225,,30
226,,36
227,,22
228,,25
229,,16
230,,24
231,,25
232,,27
233,,30
234,,22
235,,29
236,,28
237,,26
238,,31
239,,28
240,,26
241,,28
242,,33
243,,28
244,,25
245,,26
246,,23
247,,30
248,,28
249,,35
250,,26
251,,20
252,,32
253,,26
254,,33
255,,27
256,,39
257,,31
258,,33
259,,32
260,,27
261,,31
262,,31
263,,25
264,,36
265,,43
266,,26
267,,30
268,,29
269,,28
270,,23
271,,40
272,,28
273,,32
274,,31
275,,30
276,,36
277,,37
278,,25
279,,34
280,,32
281,,30
282,,26
283,,20
284,,35
285,,26
286,,33
287,,33
288,,34
289,,32
290,,30
291,,35
292,,40
293,,37
294,,31
295,,33
296,,25
297,,38
298,,45
299,,40
300,,31
301,,42
302,,33
303,,41
304,,33
305,,37
306,,37
307,,46
308,,33
309,,50
310,,35
311,,41
312,,48
313,,42
314,,39
315,,34
316,,41
317,,35
318,,34
319,,40
320,,41
321,,39
322,,33
323,,40
324,,50
325,,40
326,,42
327,,25
328,,47
329,,37
330,,32
331,,50
332,,36
333,,36
334,,44
335,,37
336,,46
337,,52
338,,53
339,,39
340,,36
341,,40
342,,46
343,,36
344,,41
345,,37
346,,47
347,,53
348,,67
349,,39
350,,41
351,,46
352,,35
353,,42
354,,39
355,,45
356,,52
357,,64
358,,40
359,,55
360,,58
361,,55
362,,64
363,,64
364,,45
365,,57
366,,60
367,,52
368,,56
369,,41
370,,59
371,,56
372,,56
373,,58
374,,46
375,,53
