Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,85467.42
Elapsed Live Time:,70522.62
Start Time:,April 11, 2023, 04:27:40
End Time:,April 12, 2023, 04:12:08
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,2169
1,,286
2,,469
3,,891
4,,2223
5,,5102
6,,9410
7,,14779
8,,20044
9,,24047
10,,29979
11,,23504
12,,16081
13,,13810
14,,12080
15,,10625
16,,9487
17,,7814
18,,6494
19,,5383
20,,4207
21,,3704
22,,3700
23,,4150
24,,5347
25,,8274
26,,13141
27,,19967
28,,25284
29,,30432
30,,35586
31,,44049
32,,62937
33,,93564
34,,173350
35,,335704
36,,544061
37,,1000275
38,,1915502
39,,3466843
40,,1968975
41,,1411072
42,,1252207
43,,1193132
44,,1176449
45,,1136024
46,,995439
47,,791262
48,,574317
49,,389298
50,,257723
51,,185461
52,,143049
53,,119311
54,,104917
55,,96250
56,,88390
57,,83706
58,,80320
59,,77625
60,,74626
61,,73173
62,,71367
63,,67566
64,,69259
65,,67542
66,,66943
67,,65946
68,,65304
69,,65319
70,,64526
71,,63791
72,,64216
73,,63329
74,,62755
75,,62329
76,,61789
77,,61594
78,,60384
79,,59565
80,,59475
81,,59666
82,,58813
83,,59003
84,,58433
85,,59567
86,,58164
87,,58839
88,,58752
89,,59096
90,,57776
91,,58951
92,,58572
93,,59522
94,,59133
95,,58734
96,,59279
97,,59963
98,,58546
99,,57482
100,,56802
101,,57328
102,,55410
103,,55781
104,,55210
105,,54818
106,,54988
107,,54784
108,,54882
109,,55063
110,,54793
111,,55480
112,,55553
113,,56374
114,,55792
115,,56444
116,,56277
117,,57059
118,,57219
119,,59303
120,,59748
121,,62139
122,,63345
123,,65160
124,,65523
125,,67876
126,,68587
127,,67049
128,,71442
129,,72725
130,,74242
131,,76912
132,,80165
133,,83327
134,,86639
135,,88778
136,,88882
137,,86347
138,,81906
139,,75707
140,,69634
141,,65017
142,,61066
143,,58212
144,,55895
145,,55488
146,,54309
147,,53706
148,,53259
149,,53208
150,,52148
151,,51893
152,,51121
153,,50988
154,,51174
155,,51076
156,,50541
157,,51276
158,,50657
159,,49961
160,,50805
161,,51212
162,,51139
163,,51113
164,,50572
165,,51183
166,,50809
167,,51333
168,,50922
169,,51100
170,,50702
171,,51582
172,,51010
173,,50914
174,,50836
175,,51571
176,,50527
177,,51442
178,,50627
179,,50761
180,,50804
181,,51220
182,,50983
183,,51053
184,,50719
185,,50766
186,,50521
187,,50709
188,,50427
189,,51060
190,,50596
191,,49388
192,,50495
193,,50778
194,,50573
195,,50905
196,,50660
197,,51113
198,,50578
199,,50521
200,,50301
201,,51038
202,,50460
203,,50660
204,,50415
205,,51224
206,,51143
207,,50565
208,,51306
209,,51067
210,,50969
211,,50678
212,,50992
213,,51103
214,,51103
215,,51171
216,,51109
217,,51217
218,,50812
219,,51103
220,,50436
221,,50784
222,,50592
223,,50220
224,,50242
225,,50885
226,,51041
227,,50941
228,,50892
229,,50768
230,,50303
231,,50867
232,,50160
233,,50892
234,,50640
235,,50963
236,,50443
237,,50860
238,,50677
239,,51083
240,,49655
241,,50516
242,,50376
243,,51315
244,,50600
245,,50921
246,,50595
247,,51144
248,,50183
249,,50715
250,,50918
251,,50864
252,,50370
253,,51410
254,,50532
255,,48681
256,,51166
257,,50718
258,,50984
259,,50894
260,,50570
261,,50830
262,,50914
263,,50505
264,,50404
265,,50968
266,,50849
267,,50803
268,,50822
269,,51123
270,,50327
271,,50616
272,,51243
273,,50890
274,,51354
275,,51217
276,,50976
277,,51188
278,,51442
279,,51577
280,,51412
281,,51399
282,,50866
283,,51424
284,,51014
285,,51456
286,,51211
287,,49854
288,,51433
289,,51309
290,,51340
291,,51426
292,,51318
293,,51587
294,,51113
295,,51996
