Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,71861.56
Elapsed Live Time:,63449.95
Start Time:,April 13, 2023, 12:11:12
End Time:,April 13, 2023, 12:11:35
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,6
1,,6
2,,17
3,,6
4,,16
5,,19
6,,25
7,,38
8,,74
9,,109
10,,170
11,,118
12,,82
13,,73
14,,87
15,,50
16,,51
17,,62
18,,58
19,,52
20,,54
21,,18
22,,27
23,,16
24,,19
25,,43
26,,171
27,,468
28,,712
29,,872
30,,901
31,,847
32,,904
33,,1029
34,,2207
35,,3690
36,,7061
37,,32639
38,,5507882
39,,1947776
40,,33569
41,,22736
42,,18177
43,,15564
44,,13493
45,,11721
46,,9301
47,,7319
48,,5597
49,,4199
50,,3358
51,,2827
52,,1947
53,,1622
54,,1522
55,,1475
56,,1459
57,,1372
58,,1447
59,,1388
60,,1379
61,,1380
62,,1429
63,,1320
64,,1413
65,,1384
66,,1389
67,,1375
68,,1381
69,,1399
70,,1348
71,,1443
72,,1371
73,,1378
74,,1366
75,,1399
76,,1291
77,,1461
78,,1351
79,,1343
80,,1332
81,,1409
82,,1341
83,,1348
84,,1359
85,,1320
86,,1374
87,,1368
88,,1349
89,,1384
90,,1384
91,,1353
92,,1354
93,,1352
94,,1391
95,,1364
96,,1320
97,,1339
98,,1386
99,,1326
100,,1450
101,,1347
102,,1399
103,,1454
104,,1329
105,,1400
106,,1409
107,,1386
108,,1409
109,,1392
110,,1475
111,,1436
112,,1493
113,,1414
114,,1438
115,,1425
116,,1416
117,,1589
118,,1553
119,,1601
120,,1524
121,,1639
122,,1499
123,,1676
124,,1650
125,,1709
126,,1765
127,,1734
128,,1825
129,,1788
130,,1952
131,,1993
132,,2028
133,,2050
134,,1970
135,,2026
136,,1784
137,,1780
138,,1750
139,,1704
140,,1744
141,,1718
142,,1634
143,,1702
144,,1688
145,,1641
146,,1699
147,,1686
148,,1753
149,,1687
150,,1732
151,,1691
152,,1775
153,,1690
154,,1777
155,,1753
156,,1750
157,,1824
158,,1791
159,,1748
160,,1798
161,,1859
162,,1827
163,,1882
164,,1777
165,,1897
166,,1867
167,,1861
168,,1840
169,,1884
170,,1927
171,,1799
172,,1766
173,,1837
174,,1821
175,,1882
176,,1894
177,,1845
178,,1857
179,,1818
180,,1900
181,,1886
182,,1844
183,,1862
184,,1745
185,,1859
186,,1808
187,,1853
188,,1827
189,,1877
190,,1833
191,,1860
192,,1834
193,,1890
194,,1858
195,,1898
196,,1888
197,,1847
198,,1890
199,,1873
200,,1848
201,,1864
202,,1820
203,,1902
204,,1840
205,,1932
206,,1866
207,,1842
208,,1855
209,,1910
210,,1864
211,,1862
212,,1905
213,,1916
214,,1863
215,,1919
216,,1897
217,,1950
218,,1837
219,,1921
220,,1891
221,,1878
222,,1857
223,,1909
224,,1828
225,,1920
226,,1910
227,,1896
228,,1929
229,,1929
230,,1855
231,,1909
232,,1881
233,,1874
234,,1976
235,,1897
236,,1857
237,,1923
238,,1912
239,,1961
240,,1939
241,,1933
242,,1944
243,,2006
244,,1972
245,,1965
246,,2016
247,,2012
248,,1898
249,,1971
250,,2018
251,,2003
252,,2006
253,,2112
254,,2039
255,,1935
256,,2049
257,,2116
258,,2097
259,,2047
260,,2064
261,,2023
262,,2135
263,,2183
264,,2077
265,,2173
266,,2102
267,,2114
268,,2102
269,,2092
270,,2083
271,,2206
272,,2231
273,,2178
274,,2187
275,,2188
276,,2148
277,,2311
278,,2263
279,,2257
280,,2169
281,,2243
282,,2278
283,,2326
284,,2280
285,,2321
286,,2292
287,,2313
288,,2391
289,,2379
290,,2342
291,,2360
292,,2369
293,,2503
294,,2375
295,,2452
296,,2406
297,,2340
298,,2495
299,,2397
300,,2400
301,,2362
302,,2499
303,,2479
304,,2505
305,,2545
306,,2599
307,,2582
308,,2500
309,,2589
310,,2492
311,,2616
312,,2606
313,,2624
314,,2664
315,,2670
316,,2640
317,,2654
318,,2720
319,,2635
320,,2750
321,,2622
322,,2721
323,,2688
324,,2725
325,,2822
326,,2869
327,,2780
328,,2909
329,,2816
330,,2901
331,,2950
332,,2872
333,,2918
334,,3012
335,,2935
336,,2967
337,,2954
338,,2984
339,,2975
340,,2989
341,,3096
342,,3061
343,,3075
344,,3120
345,,3136
346,,3079
347,,3086
348,,3053
349,,3310
350,,3207
351,,3223
352,,3185
353,,3414
354,,3355
355,,3311
356,,3428
357,,3317
358,,3491
359,,3345
360,,3435
361,,3383
362,,3400
363,,3483
364,,3464
365,,3592
366,,3510
367,,3604
368,,3675
369,,3751
370,,3703
371,,3639
372,,3678
373,,3733
374,,3829
375,,3700
376,,3845
377,,3829
378,,3774
379,,3929
380,,3861
381,,3990
382,,3843
383,,3912
384,,3785
385,,4088
386,,4005
387,,3960
388,,4010
389,,4072
390,,4003
391,,4098
392,,4230
393,,4108
394,,4188
395,,4161
396,,4260
397,,4290
398,,4272
399,,4325
400,,4310
401,,4351
402,,4436
403,,4492
404,,4426
405,,4469
406,,4594
407,,4603
408,,4426
409,,4533
410,,4655
411,,4519
412,,4668
413,,4569
414,,4712
415,,4574
416,,4668
417,,4748
