Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,87386.9
Elapsed Live Time:,87214.63
Start Time:,April 14, 2023, 05:48:44
End Time:,April 15, 2023, 06:05:12
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,41
1,,4
2,,4
3,,3
4,,4
5,,4
6,,4
7,,12
8,,5
9,,9
10,,14
11,,7
12,,6
13,,4
14,,6
15,,3
16,,10
17,,9
18,,8
19,,5
20,,11
21,,13
22,,17
23,,19
24,,34
25,,183
26,,805
27,,2169
28,,3404
29,,3817
30,,4075
31,,3943
32,,4371
33,,4495
34,,4621
35,,4678
36,,4899
37,,4961
38,,5194
39,,5442
40,,5494
41,,5560
42,,5896
43,,6026
44,,6211
45,,6434
46,,6432
47,,6618
48,,6600
49,,6630
50,,6568
51,,6948
52,,7045
53,,7108
54,,7347
55,,7118
56,,7269
57,,7393
58,,7395
59,,7351
60,,7413
61,,7444
62,,7491
63,,7262
64,,7623
65,,7537
66,,7472
67,,7558
68,,7621
69,,7711
70,,7926
71,,7896
72,,7801
73,,8029
74,,7641
75,,7848
76,,7809
77,,7825
78,,7957
79,,7764
80,,8026
81,,7988
82,,8098
83,,8200
84,,8143
85,,8417
86,,8399
87,,8346
88,,8554
89,,8649
90,,8679
91,,8819
92,,8748
93,,9006
94,,9023
95,,8916
96,,9351
97,,9423
98,,9546
99,,9557
100,,9943
101,,9802
102,,10062
103,,10210
104,,10297
105,,10369
106,,10749
107,,10616
108,,10977
109,,11197
110,,11365
111,,11478
112,,11611
113,,11857
114,,12113
115,,12304
116,,12657
117,,12706
118,,12969
119,,13342
120,,13775
121,,14028
122,,14374
123,,14303
124,,14629
125,,15294
126,,15129
127,,14699
128,,16222
129,,16082
130,,16654
131,,16925
132,,17172
133,,17583
134,,17697
135,,17965
136,,18448
137,,18654
138,,18881
139,,19065
140,,19158
141,,19871
142,,19827
143,,19786
144,,20403
145,,20722
146,,20931
147,,21082
148,,21562
149,,21936
150,,21944
151,,22143
152,,22288
153,,22807
154,,23049
155,,23606
156,,23697
157,,23862
158,,23998
159,,23707
160,,24428
161,,24923
162,,24725
163,,25040
164,,25284
165,,25661
166,,25742
167,,25863
168,,26084
169,,25965
170,,25941
171,,26270
172,,26233
173,,26415
174,,26692
175,,26594
176,,26774
177,,26864
178,,26661
179,,27186
180,,27134
181,,27470
182,,27372
183,,27700
184,,27404
185,,27483
186,,27812
187,,27665
188,,27870
189,,28082
190,,28022
191,,27364
192,,28034
193,,28206
194,,28477
195,,28698
196,,28713
197,,28467
198,,28671
199,,28487
200,,28945
201,,29030
202,,28703
203,,28847
204,,28848
205,,29002
206,,29060
207,,29265
208,,29041
209,,29293
210,,28952
211,,28971
212,,28931
213,,28923
214,,29123
215,,29289
216,,29290
217,,29262
218,,29101
219,,29735
220,,29202
221,,29566
222,,29189
223,,28770
224,,29464
225,,29753
226,,29273
227,,29362
228,,29260
229,,29652
230,,29164
231,,29355
232,,29692
233,,29593
234,,29449
235,,29611
236,,29191
237,,29500
238,,29231
239,,29173
240,,29028
241,,29424
242,,29135
243,,29530
244,,28999
245,,29794
246,,29186
247,,29706
248,,29102
249,,29212
250,,29401
251,,29476
252,,29178
253,,29282
254,,28887
255,,27967
256,,29781
257,,29211
258,,29186
259,,28793
260,,28835
261,,29152
262,,28689
263,,28713
264,,28991
265,,28813
266,,28585
267,,28255
268,,28404
269,,28830
270,,28232
271,,28381
272,,28579
273,,28618
274,,28490
275,,28455
276,,28281
277,,28409
278,,27958
279,,28207
280,,28097
281,,28281
282,,27910
283,,27565
284,,27740
285,,27779
286,,27791
287,,26853
288,,27522
289,,27389
290,,27425
291,,27265
292,,27082
293,,27140
294,,27160
295,,26995
296,,27090
297,,27189
298,,27066
299,,27148
300,,26731
301,,26805
302,,26427
303,,26401
304,,26116
305,,26462
306,,26122
307,,26112
308,,25864
309,,25780
310,,25617
311,,25907
312,,25540
313,,25528
