Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,95342.77
Elapsed Live Time:,95091.85
Start Time:,April 13, 2023, 03:18:33
End Time:,April 14, 2023, 05:48:07
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,63
1,,4
2,,8
3,,2
4,,9
5,,14
6,,18
7,,11
8,,10
9,,15
10,,8
11,,13
12,,10
13,,6
14,,11
15,,13
16,,10
17,,10
18,,13
19,,11
20,,16
21,,13
22,,14
23,,21
24,,55
25,,198
26,,911
27,,2693
28,,4523
29,,5264
30,,5408
31,,5406
32,,5835
33,,5980
34,,6147
35,,6142
36,,6463
37,,6539
38,,6756
39,,7049
40,,7280
41,,7502
42,,7827
43,,8264
44,,8129
45,,8628
46,,8603
47,,8716
48,,8633
49,,8864
50,,8942
51,,9002
52,,9019
53,,9322
54,,9349
55,,9388
56,,9404
57,,9538
58,,9641
59,,9578
60,,9560
61,,9655
62,,9854
63,,9255
64,,9835
65,,9735
66,,9741
67,,10001
68,,10055
69,,9870
70,,10155
71,,10029
72,,10224
73,,10027
74,,9951
75,,10284
76,,10156
77,,10257
78,,10251
79,,10142
80,,10242
81,,10143
82,,10415
83,,10611
84,,10315
85,,10544
86,,10540
87,,10562
88,,10772
89,,10915
90,,10770
91,,11069
92,,10953
93,,11403
94,,11522
95,,11051
96,,11531
97,,11733
98,,11957
99,,11869
100,,12064
101,,12323
102,,12323
103,,12576
104,,12895
105,,12979
106,,12974
107,,13202
108,,13584
109,,13815
110,,13924
111,,14087
112,,14220
113,,14675
114,,14870
115,,15136
116,,15195
117,,15666
118,,15757
119,,16239
120,,16290
121,,16720
122,,16725
123,,17512
124,,17552
125,,18059
126,,18173
127,,17903
128,,19096
129,,19159
130,,19584
131,,19853
132,,20371
133,,20505
134,,21086
135,,21007
136,,21492
137,,21599
138,,22176
139,,22419
140,,22528
141,,22983
142,,23502
143,,23733
144,,24052
145,,24530
146,,24362
147,,24827
148,,25014
149,,25637
150,,25751
151,,26042
152,,26160
153,,26394
154,,26759
155,,26915
156,,27208
157,,27780
158,,27514
159,,27333
160,,28488
161,,28519
162,,28913
163,,29103
164,,29218
165,,29419
166,,29494
167,,29511
168,,29982
169,,30232
170,,29847
171,,30212
172,,30309
173,,30612
174,,30575
175,,30724
176,,30600
177,,30629
178,,30742
179,,31128
180,,31036
181,,31461
182,,31293
183,,31414
184,,31566
185,,31577
186,,31819
187,,31847
188,,31567
189,,32015
190,,32219
191,,31514
192,,32205
193,,32675
194,,32472
195,,32623
196,,32593
197,,33155
198,,32685
199,,33142
200,,32830
201,,33130
202,,33344
203,,33474
204,,32953
205,,33292
