Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,6324.77
Elapsed Live Time:,5425.77
Start Time:,April 13, 2023, 12:13:19
End Time:,April 13, 2023, 01:59:05
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,422
1,,51
2,,42
3,,72
4,,110
5,,232
6,,499
7,,727
8,,1014
9,,1276
10,,1583
11,,1274
12,,906
13,,847
14,,830
15,,723
16,,691
17,,654
18,,624
19,,570
20,,470
21,,457
22,,445
23,,503
24,,734
25,,1131
26,,1844
27,,2590
28,,2989
29,,3468
30,,3636
31,,3848
32,,4532
33,,5719
34,,9450
35,,18929
36,,31779
37,,78627
38,,149313
39,,208669
40,,149429
41,,128279
42,,119453
43,,120117
44,,123702
45,,123225
46,,108953
47,,82497
48,,54184
49,,34138
50,,21758
51,,14849
52,,11503
53,,9778
54,,8836
55,,8311
56,,7973
57,,7588
58,,7428
59,,7329
60,,7060
61,,6805
62,,6632
63,,6226
64,,6436
65,,6349
66,,6116
67,,6075
68,,6209
69,,6065
70,,6025
71,,5950
72,,5990
73,,6065
74,,5890
75,,5990
76,,6047
77,,5963
78,,5879
79,,5830
80,,5700
81,,5891
82,,5902
83,,5977
84,,5839
85,,5990
86,,5949
87,,6137
88,,6258
89,,6126
90,,6102
91,,6232
92,,6051
93,,6088
94,,6150
95,,6093
96,,6148
97,,6407
98,,6293
99,,6454
100,,6585
101,,6717
102,,6792
103,,6853
104,,7010
105,,7376
106,,7433
107,,7457
108,,7546
109,,7782
110,,7801
111,,8061
112,,8191
113,,8378
114,,8679
115,,8758
116,,8985
117,,9440
118,,9418
119,,9628
120,,9850
121,,10060
122,,10395
123,,10799
124,,11168
125,,11579
126,,12020
127,,12036
128,,13292
129,,13796
130,,14391
131,,14753
132,,15664
133,,16289
134,,17174
135,,18144
136,,18848
137,,20103
138,,20607
139,,21801
140,,22767
141,,24114
142,,25006
143,,25928
144,,27313
145,,28327
146,,29553
147,,30984
148,,31827
149,,33461
150,,34612
151,,36247
152,,36981
153,,38795
154,,39173
155,,40717
156,,41656
157,,43047
158,,43837
159,,43703
160,,45531
161,,46684
162,,47075
163,,47857
164,,48596
165,,49488
166,,49007
167,,49964
168,,49966
169,,49897
170,,49187
171,,48927
172,,48275
173,,47804
174,,47476
175,,46010
176,,44582
177,,44220
178,,42751
179,,41545
180,,40150
181,,38765
182,,36867
183,,35808
184,,34033
185,,32593
186,,30906
187,,29351
188,,27984
189,,26495
190,,24990
191,,23412
192,,22570
193,,21667
194,,20478
195,,19546
196,,18625
197,,17563
198,,16468
199,,15876
200,,15157
201,,14633
202,,13658
203,,13087
204,,12678
205,,12058
206,,11499
207,,11137
208,,10577
209,,10043
210,,9827
211,,9477
212,,9064
213,,8690
214,,8352
215,,8115
216,,7623
217,,7534
218,,7174
219,,7160
220,,6837
221,,6690
222,,6485
223,,6411
224,,6152
225,,6084
226,,6067
227,,5862
228,,5685
229,,5786
230,,5614
231,,5648
232,,5481
233,,5610
234,,5435
235,,5443
236,,5398
237,,5350
238,,5340
239,,5329
240,,5372
241,,5284
242,,5349
243,,5324
244,,5252
245,,5208
246,,5305
247,,5423
248,,5197
249,,5296
250,,5281
251,,5203
252,,5302
253,,5412
254,,5270
255,,4886
256,,5282
257,,5286
258,,5253
259,,5260
260,,5286
261,,5252
262,,5265
263,,5312
264,,5320
265,,5339
266,,5462
267,,5315
268,,5332
269,,5231
270,,5420
271,,5297
272,,5295
273,,5238
274,,5293
275,,5446
276,,5370
277,,5368
278,,5345
279,,5195
280,,5280
281,,5394
282,,5247
283,,5270
284,,5256
285,,5415
286,,5340
287,,5303
288,,5459
289,,5438
290,,5456
291,,5404
292,,5448
293,,5448
294,,5326
295,,5339
296,,5392
297,,5447
298,,5456
299,,5430
300,,5346
301,,5481
302,,5412
303,,5351
304,,5337
305,,5361
306,,5297
307,,5369
308,,5455
309,,5476
310,,5411
311,,5527
312,,5331
313,,5323
314,,5314
315,,5443
316,,5370
317,,5356
318,,5436
319,,5321
320,,5540
321,,5381
322,,5321
323,,5430
324,,5381
325,,5595
326,,5517
327,,5421
328,,5267
329,,5477
330,,5479
331,,5515
332,,5237
