Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,987.73
Elapsed Live Time:,816.18
Start Time:,April 11, 2023, 03:50:11
End Time:,April 11, 2023, 04:07:11
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,23
1,,1
2,,3
3,,8
4,,10
5,,27
6,,59
7,,120
8,,174
9,,225
10,,357
11,,379
12,,231
13,,174
14,,178
15,,135
16,,135
17,,104
18,,103
19,,77
20,,81
21,,55
22,,54
23,,51
24,,75
25,,93
26,,171
27,,253
28,,288
29,,309
30,,391
31,,441
32,,597
33,,823
34,,1476
35,,2884
36,,4854
37,,8358
38,,15467
39,,32699
40,,32730
41,,17171
42,,14837
43,,13471
44,,13337
45,,13150
46,,11931
47,,10162
48,,7809
49,,5503
50,,3578
51,,2537
52,,1899
53,,1533
54,,1326
55,,1118
56,,1021
57,,1020
58,,972
59,,888
60,,882
61,,814
62,,823
63,,829
64,,765
65,,783
66,,745
67,,783
68,,745
69,,722
70,,743
71,,783
72,,716
73,,700
74,,762
75,,711
76,,710
77,,744
78,,719
79,,687
80,,648
81,,628
82,,656
83,,736
84,,643
85,,645
86,,683
87,,693
88,,712
89,,693
90,,674
91,,692
92,,730
93,,699
94,,701
95,,683
96,,662
97,,659
98,,721
99,,710
100,,722
101,,689
102,,641
103,,617
104,,650
105,,647
106,,627
107,,587
108,,622
109,,603
110,,653
111,,606
112,,589
113,,623
114,,628
115,,619
116,,629
117,,627
118,,685
119,,639
120,,663
121,,695
122,,701
123,,632
124,,690
125,,658
126,,703
127,,677
128,,685
129,,754
130,,778
131,,788
132,,779
133,,835
134,,849
135,,776
136,,795
137,,797
138,,881
139,,868
140,,894
141,,897
142,,944
143,,962
144,,1013
145,,992
146,,1001
147,,942
148,,829
149,,796
150,,685
151,,638
152,,693
153,,597
154,,623
155,,571
156,,567
157,,580
158,,602
159,,551
160,,572
161,,556
162,,570
163,,604
164,,585
165,,594
166,,591
167,,618
168,,586
169,,594
170,,546
171,,626
172,,583
173,,582
174,,641
175,,618
176,,602
177,,593
178,,617
179,,577
180,,596
181,,596
182,,628
183,,578
184,,605
185,,561
186,,616
187,,602
188,,545
189,,557
190,,588
191,,595
192,,614
193,,568
194,,598
195,,572
196,,563
197,,598
198,,564
199,,550
200,,629
201,,606
202,,577
203,,540
204,,583
205,,564
206,,577
207,,534
208,,542
209,,577
210,,584
211,,617
212,,619
213,,559
214,,604
215,,603
216,,612
217,,604
218,,563
219,,592
220,,569
221,,570
222,,590
223,,621
224,,571
225,,587
226,,547
227,,604
228,,585
229,,594
230,,557
231,,582
232,,553
233,,582
234,,599
235,,601
236,,585
237,,577
238,,549
239,,617
240,,604
241,,570
242,,563
243,,585
244,,586
245,,567
246,,600
247,,613
248,,594
249,,612
250,,583
251,,610
252,,596
253,,571
254,,597
255,,559
256,,628
257,,583
258,,555
259,,608
260,,588
261,,605
262,,578
263,,583
264,,594
265,,600
266,,540
267,,564
268,,588
269,,593
270,,620
271,,585
272,,575
273,,586
274,,515
275,,611
276,,602
277,,607
278,,600
279,,606
280,,595
281,,616
282,,557
283,,595
284,,592
285,,593
286,,565
287,,562
288,,571
289,,586
290,,615
291,,583
292,,632
293,,584
294,,616
295,,597
296,,585
297,,579
298,,555
299,,588
300,,609
301,,552
302,,611
303,,585
304,,623
305,,586
306,,562
307,,577
308,,556
309,,569
310,,621
311,,604
312,,591
313,,595
314,,581
315,,619
316,,572
317,,605
318,,560
319,,558
320,,583
321,,643
322,,552
323,,575
324,,576
325,,626
326,,634
327,,607
328,,603
329,,605
330,,584
331,,627
332,,636
333,,593
334,,660
335,,600
336,,612
337,,587
338,,599
339,,592
340,,595
341,,601
342,,602
343,,655
344,,587
345,,576
346,,605
347,,635
348,,584
349,,605
350,,598
351,,606
352,,623
353,,597
354,,592
355,,622
356,,635
357,,621
358,,617
359,,624
360,,624
361,,580
362,,585
363,,607
364,,627
365,,592
366,,583
367,,634
368,,596
369,,626
370,,592
371,,589
372,,607
373,,628
374,,609
375,,648
376,,582
377,,563
378,,638
379,,583
380,,587
381,,636
382,,598
383,,563
384,,583
385,,625
386,,582
387,,660
388,,659
389,,671
390,,598
391,,637
392,,642
393,,609
394,,627
395,,613
396,,623
397,,630
398,,649
399,,576
400,,582
401,,615
402,,602
403,,644
404,,576
405,,587
406,,672
407,,627
408,,587
409,,642
410,,652
411,,650
412,,617
413,,645
414,,594
415,,592
416,,613
417,,652
418,,590
419,,642
420,,625
421,,640
422,,608
423,,623
424,,626
425,,642
426,,632
427,,613
428,,622
429,,625
430,,654
431,,673
432,,658
433,,651
434,,602
435,,653
436,,640
437,,617
438,,643
439,,620
440,,644
441,,676
442,,632
443,,620
444,,636
445,,655
446,,634
447,,526
448,,612
449,,652
450,,632
451,,653
452,,653
453,,657
454,,670
455,,584
456,,692
457,,606
458,,658
459,,634
460,,625
461,,681
462,,657
463,,678
464,,641
465,,652
466,,624
467,,658
468,,671
469,,657
470,,645
471,,610
472,,597
473,,649
474,,617
475,,648
476,,688
477,,668
