Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,157765.38
Elapsed Live Time:,156529.47
Start Time:,April 15, 2023, 07:15:53
End Time:,April 17, 2023, 03:05:19
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,880
1,,83
2,,78
3,,113
4,,115
5,,139
6,,161
7,,220
8,,241
9,,177
10,,179
11,,168
12,,191
13,,172
14,,200
15,,174
16,,189
17,,193
18,,199
19,,233
20,,237
21,,239
22,,308
23,,440
24,,776
25,,2627
26,,9273
27,,21355
28,,31892
29,,36057
30,,37047
31,,36857
32,,39514
33,,40524
34,,41741
35,,43443
36,,45050
37,,46687
38,,48512
39,,50382
40,,52883
41,,55289
42,,58014
43,,60938
44,,63630
45,,65722
46,,65871
47,,65962
48,,66245
49,,66236
50,,65824
51,,66638
52,,66634
53,,66931
54,,67085
55,,66978
56,,66873
57,,66666
58,,65692
59,,66035
60,,65268
61,,65307
62,,64520
63,,62071
64,,65847
65,,65400
66,,65654
67,,65871
68,,67354
69,,67635
70,,68329
71,,69269
72,,70485
73,,71290
74,,71197
75,,73263
76,,74272
77,,75463
78,,76631
79,,78165
80,,79850
81,,82008
82,,83895
83,,86609
84,,88918
85,,91668
86,,94130
87,,97444
88,,99712
89,,103381
90,,105714
91,,109677
92,,112213
93,,116043
94,,117648
95,,118550
96,,123079
97,,125676
98,,127821
99,,128779
100,,130061
101,,130891
102,,129592
103,,129298
104,,127194
105,,125173
106,,121674
107,,119516
108,,115248
109,,113123
110,,109488
111,,106396
112,,103332
113,,101711
114,,99933
115,,97988
116,,97220
117,,96816
118,,96534
119,,97210
120,,97602
121,,97537
122,,97734
123,,99610
124,,100562
125,,101036
126,,101922
127,,99352
128,,105159
129,,105481
130,,106845
131,,107805
132,,108779
133,,111328
134,,112584
135,,113925
136,,116213
137,,119358
138,,121766
139,,124948
140,,128285
141,,132317
142,,136372
143,,139410
144,,145277
145,,150230
146,,154493
147,,161406
148,,166344
149,,172826
150,,178279
151,,186326
152,,191963
153,,199514
154,,204924
155,,212374
156,,218215
157,,225924
158,,231691
159,,232441
160,,245135
161,,253453
162,,259626
163,,266092
164,,272724
165,,281083
166,,288423
167,,294692
168,,300580
169,,308222
170,,312384
171,,317686
172,,320657
173,,325794
174,,326142
175,,326637
176,,325204
177,,325875
178,,321520
179,,317402
180,,311184
181,,306324
182,,297174
183,,289035
184,,277938
185,,269281
186,,258264
187,,249247
188,,238701
189,,231844
190,,219802
191,,207877
192,,204758
