Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,147.76
Elapsed Live Time:,144.94
Start Time:,April 15, 2023, 07:09:31
End Time:,April 15, 2023, 07:11:59
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,3
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,1
13,,0
14,,2
15,,0
16,,0
17,,0
18,,0
19,,2
20,,1
21,,1
22,,0
23,,1
24,,0
25,,11
26,,31
27,,44
28,,53
29,,64
30,,46
31,,59
32,,64
33,,57
34,,59
35,,54
36,,64
37,,75
38,,92
39,,86
40,,64
41,,70
42,,62
43,,74
44,,83
45,,74
46,,67
47,,96
48,,89
49,,63
50,,80
51,,94
52,,85
53,,95
54,,90
55,,97
56,,104
57,,85
58,,108
59,,83
60,,115
61,,119
62,,100
63,,98
64,,95
65,,88
66,,88
67,,112
68,,88
69,,71
70,,103
71,,111
72,,99
73,,108
74,,89
75,,96
76,,122
77,,98
78,,88
79,,96
80,,118
81,,96
82,,115
83,,90
84,,89
85,,89
86,,90
87,,102
88,,78
89,,68
90,,103
91,,82
92,,96
93,,87
94,,88
95,,92
96,,96
97,,93
98,,90
99,,82
100,,77
101,,92
102,,84
103,,76
104,,72
105,,98
106,,104
107,,82
108,,102
109,,90
110,,91
111,,97
112,,73
113,,101
114,,103
115,,88
116,,85
117,,87
118,,91
119,,96
120,,103
121,,86
122,,87
123,,111
124,,88
125,,91
126,,82
127,,105
128,,105
129,,101
130,,104
131,,88
132,,99
133,,98
134,,106
135,,94
136,,99
137,,105
138,,119
139,,104
140,,99
141,,121
142,,105
143,,104
144,,88
145,,99
146,,93
147,,98
148,,94
149,,114
150,,104
151,,101
152,,131
153,,112
154,,103
155,,98
156,,82
157,,74
158,,107
159,,99
160,,117
161,,96
162,,102
163,,127
164,,95
165,,107
166,,104
167,,118
168,,95
169,,119
170,,109
171,,108
172,,120
173,,110
174,,107
175,,93
176,,99
177,,98
178,,129
179,,119
180,,102
181,,120
182,,102
183,,116
184,,113
185,,91
186,,93
187,,116
188,,133
189,,120
190,,103
191,,106
192,,91
193,,110
194,,134
195,,110
196,,123
197,,128
198,,113
199,,141
200,,118
201,,117
202,,110
203,,133
204,,130
205,,118
206,,126
207,,109
208,,118
209,,126
210,,113
211,,131
212,,106
213,,123
214,,116
215,,124
216,,108
217,,128
218,,125
219,,130
220,,127
221,,109
222,,138
223,,126
224,,132
225,,125
226,,128
227,,128
228,,119
229,,116
230,,129
231,,127
232,,119
233,,135
234,,117
235,,132
236,,130
237,,122
238,,122
239,,120
240,,144
241,,115
242,,125
243,,119
244,,140
245,,141
246,,124
247,,112
248,,114
249,,146
250,,130
251,,124
252,,120
253,,128
254,,119
255,,124
256,,128
257,,126
258,,132
259,,113
260,,131
261,,129
262,,129
263,,133
264,,107
265,,146
266,,131
267,,121
268,,122
269,,111
270,,124
271,,140
272,,117
273,,142
274,,113
275,,159
276,,112
277,,149
278,,108
279,,135
280,,126
281,,127
282,,131
283,,116
284,,140
285,,126
286,,115
287,,139
288,,131
289,,155
290,,115
291,,155
292,,130
293,,135
294,,105
295,,145
296,,120
297,,128
298,,120
299,,128
300,,124
301,,128
302,,128
303,,140
304,,143
305,,124
306,,131
307,,119
308,,138
309,,134
310,,148
311,,105
312,,126
313,,127
314,,125
315,,145
316,,135
317,,143
318,,113
319,,92
320,,161
321,,121
322,,122
323,,140
324,,142
325,,142
326,,141
327,,131
328,,136
329,,136
330,,115
331,,153
332,,148
333,,138
334,,123
335,,130
336,,130
337,,109
338,,141
339,,125
340,,134
341,,131
342,,121
343,,137
344,,136
345,,143
346,,136
347,,125
348,,125
349,,139
350,,130
351,,115
352,,147
353,,108
354,,115
355,,122
356,,136
357,,143
358,,129
359,,137
360,,127
361,,132
362,,124
363,,138
364,,115
365,,146
366,,136
367,,116
368,,130
369,,114
370,,128
371,,134
372,,134
373,,128
374,,136
375,,149
376,,120
377,,129
378,,134
379,,131
380,,109
381,,142
382,,131
383,,101
384,,122
385,,143
386,,150
387,,135
388,,136
389,,126
390,,127
391,,133
392,,140
393,,128
394,,119
395,,117
396,,141
397,,143
398,,136
399,,129
400,,132
401,,125
402,,137
403,,135
404,,153
405,,153
406,,122
407,,134
408,,128
409,,122
410,,133
411,,134
412,,140
413,,137
414,,138
415,,120
416,,123
417,,147
418,,115
419,,134
420,,127
421,,133
422,,120
423,,138
424,,139
425,,122
426,,119
427,,155
428,,145
429,,144
430,,135
431,,132
432,,138
433,,147
434,,122
435,,137
436,,122
437,,114
438,,141
439,,128
440,,138
441,,128
442,,140
443,,137
444,,153
445,,149
446,,135
447,,134
448,,147
449,,104
450,,115
451,,137
452,,127
453,,122
454,,143
455,,142
456,,123
457,,134
458,,140
459,,128
460,,134
461,,126
462,,111
463,,141
464,,122
465,,133
466,,140
467,,147
468,,155
469,,126
470,,147
471,,175
472,,127
473,,159
474,,131
475,,150
476,,141
477,,149
478,,168
479,,150
480,,135
481,,125
482,,163
483,,148
484,,134
485,,159
486,,147
487,,149
488,,148
489,,153
490,,143
491,,151
492,,156
493,,137
494,,172
495,,138
496,,164
497,,142
498,,173
499,,169
500,,158
501,,166
502,,160
503,,173
504,,156
505,,162
506,,172
507,,156
508,,147
509,,166
510,,167
511,,162
512,,177
513,,171
514,,155
515,,162
516,,179
517,,171
518,,155
519,,176
520,,152
521,,190
522,,163
523,,166
524,,167
525,,156
526,,172
527,,186
528,,163
529,,168
530,,151
531,,195
532,,170
533,,165
534,,138
535,,170
536,,170
537,,193
538,,154
539,,151
540,,158
541,,187
542,,178
543,,186
544,,155
545,,165
546,,151
547,,174
548,,152
549,,164
550,,158
551,,152
552,,175
553,,161
554,,147
555,,174
556,,157
557,,172
558,,162
559,,164
560,,173
561,,160
562,,165
563,,167
564,,165
565,,159
566,,159
567,,177
568,,163
569,,148
570,,161
571,,153
572,,170
573,,147
574,,173
575,,155
576,,139
577,,124
578,,161
579,,126
580,,155
581,,163
582,,150
583,,146
584,,161
585,,162
586,,152
587,,146
588,,152
589,,161
590,,165
591,,152
592,,153
593,,151
594,,144
595,,167
596,,158
597,,162
598,,157
599,,165
600,,141
601,,141
602,,120
603,,137
604,,144
605,,145
606,,151
607,,158
608,,156
609,,149
610,,152
611,,151
612,,145
613,,140
614,,126
615,,154
616,,125
617,,150
618,,157
619,,163
620,,143
621,,160
622,,158
623,,128
624,,146
625,,152
626,,162
627,,157
628,,150
629,,153
630,,136
631,,167
632,,133
633,,141
634,,142
635,,141
636,,144
637,,163
638,,132
639,,160
640,,156
641,,169
642,,137
643,,155
644,,157
645,,147
646,,145
647,,135
648,,152
649,,155
650,,148
651,,153
652,,157
653,,140
654,,152
655,,138
656,,164
657,,137
658,,164
659,,162
660,,156
661,,143
662,,137
663,,159
664,,150
665,,144
666,,141
667,,134
668,,120
669,,133
670,,148
671,,143
672,,150
673,,153
674,,143
675,,144
676,,132
677,,128
678,,140
679,,150
680,,136
681,,162
682,,153
683,,127
684,,147
685,,137
686,,134
687,,119
688,,132
689,,151
690,,126
691,,146
692,,143
693,,146
694,,146
695,,140
696,,143
697,,138
698,,146
699,,128
700,,135
701,,142
702,,131
703,,152
704,,130
705,,126
706,,133
707,,135
708,,139
709,,116
710,,131
711,,145
712,,133
713,,118
714,,117
715,,132
716,,140
717,,134
718,,142
719,,110
720,,126
721,,119
722,,106
723,,126
724,,121
725,,102
726,,124
727,,141
728,,120
729,,131
730,,126
731,,121
732,,134
733,,126
734,,145
735,,124
736,,117
737,,120
738,,139
739,,117
740,,145
741,,128
742,,120
743,,121
744,,120
745,,127
746,,128
747,,125
748,,120
749,,118
750,,129
751,,132
752,,106
753,,142
754,,123
755,,131
756,,123
757,,122
758,,121
759,,110
760,,133
761,,123
762,,109
763,,121
764,,114
765,,117
766,,126
767,,111
768,,124
769,,109
770,,97
771,,100
772,,112
773,,127
774,,138
775,,110
776,,115
777,,107
778,,119
779,,107
780,,113
781,,110
782,,101
783,,119
784,,113
785,,121
786,,102
787,,103
788,,111
789,,92
790,,105
791,,120
792,,119
793,,124
794,,92
795,,115
796,,103
797,,104
798,,118
799,,102
800,,105
801,,119
802,,123
803,,103
804,,112
805,,116
806,,113
807,,121
808,,113
809,,115
810,,118
811,,119
812,,108
813,,107
814,,125
815,,106
816,,109
817,,120
818,,126
819,,109
820,,116
821,,98
822,,127
823,,126
824,,109
825,,108
826,,129
827,,95
828,,105
829,,108
830,,115
831,,113
832,,114
833,,105
834,,110
835,,120
836,,107
837,,99
838,,125
839,,96
840,,105
841,,101
842,,95
843,,98
844,,110
845,,106
846,,100
847,,122
848,,117
849,,120
850,,107
851,,104
852,,121
853,,106
854,,100
855,,91
856,,107
857,,101
858,,105
859,,99
860,,110
861,,112
862,,100
863,,106
864,,118
865,,116
866,,111
867,,107
868,,105
869,,121
870,,110
871,,129
872,,109
873,,112
874,,95
875,,106
876,,108
877,,105
878,,98
879,,124
880,,90
881,,109
882,,118
883,,121
884,,97
885,,115
886,,116
887,,111
888,,97
889,,96
890,,98
891,,103
892,,92
893,,97
894,,110
895,,123
896,,118
897,,101
898,,101
899,,101
900,,117
901,,111
902,,113
903,,85
904,,96
905,,95
906,,100
907,,115
908,,99
909,,128
910,,111
911,,105
912,,88
913,,111
914,,111
915,,73
916,,88
917,,92
918,,108
919,,91
920,,92
921,,87
922,,102
923,,101
924,,107
925,,88
926,,104
927,,99
928,,87
929,,106
930,,101
931,,96
932,,94
933,,89
934,,94
935,,86
936,,94
937,,97
938,,88
939,,81
940,,93
941,,85
942,,92
943,,82
944,,94
945,,75
946,,89
947,,87
948,,77
949,,96
950,,92
951,,77
952,,62
953,,85
954,,94
955,,80
956,,93
957,,80
958,,73
959,,85
960,,85
961,,89
962,,90
963,,81
964,,77
965,,75
966,,79
967,,75
968,,78
969,,72
970,,63
971,,67
972,,78
973,,80
974,,69
975,,57
976,,82
977,,65
978,,65
979,,68
980,,63
981,,79
982,,57
983,,56
984,,69
985,,66
986,,62
987,,80
988,,74
989,,63
990,,55
991,,79
992,,53
993,,57
994,,64
995,,76
996,,71
997,,64
998,,52
999,,62
1000,,77
1001,,66
1002,,63
1003,,67
1004,,55
1005,,62
1006,,69
1007,,55
1008,,53
1009,,61
1010,,60
1011,,49
1012,,50
1013,,52
1014,,58
1015,,49
1016,,49
1017,,55
1018,,56
1019,,48
1020,,57
1021,,40
1022,,51
1023,,41
1024,,35
1025,,53
1026,,68
1027,,49
1028,,31
1029,,53
1030,,46
1031,,42
1032,,47
1033,,49
1034,,42
1035,,47
1036,,43
1037,,43
1038,,56
1039,,37
1040,,29
1041,,39
1042,,49
1043,,51
1044,,42
1045,,50
1046,,54
1047,,34
1048,,51
1049,,55
1050,,36
1051,,42
1052,,45
1053,,44
1054,,38
1055,,28
1056,,43
1057,,44
1058,,43
1059,,48
1060,,39
1061,,38
1062,,36
1063,,29
1064,,42
1065,,44
1066,,40
1067,,45
1068,,33
1069,,37
1070,,32
1071,,44
1072,,35
1073,,41
1074,,44
1075,,35
1076,,47
1077,,36
1078,,37
1079,,37
1080,,34
1081,,39
1082,,34
1083,,40
1084,,37
1085,,40
1086,,37
1087,,30
1088,,40
1089,,29
1090,,32
1091,,26
1092,,46
1093,,31
1094,,29
1095,,32
1096,,32
1097,,39
1098,,37
1099,,30
1100,,36
1101,,36
1102,,26
1103,,20
1104,,26
1105,,48
1106,,44
1107,,29
1108,,39
1109,,27
1110,,29
1111,,32
1112,,25
1113,,40
1114,,33
1115,,33
1116,,36
1117,,24
1118,,33
1119,,27
1120,,34
1121,,28
1122,,33
1123,,28
1124,,31
1125,,24
1126,,37
1127,,36
1128,,28
1129,,24
1130,,30
1131,,40
1132,,22
1133,,23
1134,,30
1135,,31
1136,,28
1137,,29
1138,,28
1139,,34
1140,,35
1141,,29
1142,,30
1143,,33
1144,,27
1145,,30
1146,,26
1147,,38
1148,,35
1149,,30
1150,,27
1151,,29
1152,,29
1153,,32
1154,,27
1155,,40
1156,,38
1157,,22
1158,,29
1159,,33
1160,,28
1161,,26
1162,,31
1163,,33
1164,,21
1165,,32
1166,,27
1167,,26
1168,,26
1169,,30
1170,,20
1171,,30
1172,,40
1173,,19
1174,,33
1175,,28
1176,,23
1177,,39
1178,,40
1179,,29
1180,,30
1181,,31
1182,,30
1183,,15
1184,,26
1185,,26
1186,,32
1187,,23
1188,,24
1189,,31
1190,,25
1191,,18
1192,,30
1193,,28
1194,,33
1195,,25
1196,,21
1197,,34
1198,,20
1199,,34
1200,,23
1201,,38
1202,,26
1203,,29
1204,,19
1205,,25
1206,,35
1207,,30
1208,,31
1209,,26
1210,,13
1211,,37
1212,,18
1213,,30
1214,,24
1215,,35
1216,,24
1217,,30
1218,,25
1219,,33
1220,,26
1221,,34
1222,,25
1223,,24
1224,,26
1225,,25
1226,,18
1227,,17
1228,,33
1229,,33
1230,,23
1231,,28
1232,,26
1233,,20
1234,,28
1235,,23
1236,,35
1237,,28
1238,,28
1239,,34
1240,,29
1241,,34
1242,,27
1243,,19
1244,,37
1245,,23
1246,,24
1247,,26
1248,,20
1249,,22
1250,,28
1251,,27
1252,,20
1253,,23
1254,,27
1255,,25
1256,,29
1257,,21
1258,,23
1259,,22
1260,,22
1261,,27
1262,,30
1263,,29
1264,,28
1265,,28
1266,,37
1267,,26
1268,,32
1269,,29
1270,,26
1271,,27
1272,,33
1273,,34
1274,,24
1275,,25
1276,,25
1277,,26
1278,,22
1279,,26
1280,,37
1281,,32
1282,,28
1283,,24
1284,,26
1285,,26
1286,,26
1287,,27
1288,,31
1289,,27
1290,,28
1291,,26
1292,,32
1293,,22
1294,,34
1295,,35
1296,,25
1297,,26
1298,,24
1299,,24
1300,,37
1301,,21
1302,,29
1303,,24
1304,,24
1305,,33
1306,,23
1307,,27
1308,,26
1309,,22
1310,,24
1311,,32
1312,,33
1313,,26
1314,,29
1315,,36
1316,,28
1317,,32
1318,,34
1319,,26
1320,,26
1321,,34
1322,,33
1323,,28
1324,,24
1325,,32
1326,,33
1327,,35
1328,,25
1329,,37
1330,,35
1331,,30
1332,,33
1333,,30
1334,,35
1335,,28
1336,,39
1337,,35
1338,,30
1339,,49
1340,,39
1341,,49
1342,,32
1343,,38
1344,,37
1345,,39
1346,,48
1347,,38
1348,,47
1349,,57
1350,,53
1351,,37
1352,,47
1353,,45
1354,,37
1355,,35
1356,,47
1357,,49
1358,,51
1359,,57
1360,,46
1361,,65
1362,,49
1363,,61
1364,,49
1365,,59
1366,,53
1367,,55
1368,,67
1369,,48
1370,,54
1371,,56
1372,,57
1373,,58
1374,,52
1375,,62
1376,,83
1377,,76
1378,,65
1379,,80
1380,,78
1381,,81
1382,,57
1383,,77
1384,,75
1385,,80
1386,,100
1387,,109
1388,,107
1389,,88
1390,,91
1391,,103
1392,,106
1393,,99
1394,,101
1395,,110
1396,,96
1397,,110
1398,,109
1399,,132
1400,,140
1401,,115
1402,,130
1403,,136
1404,,138
1405,,152
1406,,145
1407,,153
1408,,171
1409,,156
1410,,186
1411,,162
1412,,173
1413,,176
1414,,192
1415,,168
1416,,165
1417,,188
1418,,211
