Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,91829.04
Elapsed Live Time:,91645.6
Start Time:,April 17, 2023, 03:06:51
End Time:,April 18, 2023, 04:37:21
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,46
1,,2
2,,4
3,,4
4,,5
5,,5
6,,8
7,,8
8,,11
9,,4
10,,9
11,,4
12,,5
13,,7
14,,6
15,,6
16,,10
17,,16
18,,7
19,,10
20,,5
21,,8
22,,8
23,,16
24,,18
25,,54
26,,338
27,,1570
28,,3474
29,,4347
30,,4561
31,,4514
32,,4830
33,,5026
34,,5227
35,,5261
36,,5459
37,,5724
38,,5726
39,,5996
40,,6217
41,,6369
42,,6593
43,,6762
44,,6909
45,,7289
46,,7318
47,,7311
48,,7524
49,,7477
50,,7587
51,,7779
52,,7939
53,,8204
54,,7975
55,,8287
56,,8109
57,,8194
58,,8105
59,,8375
60,,8372
61,,8343
62,,8425
63,,7917
64,,8270
65,,8477
66,,8333
67,,8290
68,,8530
69,,8329
70,,8563
71,,8516
72,,8617
73,,8625
74,,8652
75,,8700
76,,8717
77,,8764
78,,8711
79,,8671
80,,8839
81,,9014
82,,8909
83,,8844
84,,8918
85,,8954
86,,9127
87,,9237
88,,9380
89,,9493
90,,9457
91,,9632
92,,9869
93,,9839
94,,9925
95,,9958
96,,10207
97,,10495
98,,10377
99,,10731
100,,11037
101,,11094
102,,11265
103,,11415
104,,11483
105,,11706
106,,11768
107,,11932
108,,12116
109,,12429
110,,12558
111,,12863
112,,13021
113,,13234
114,,13442
115,,13907
116,,14082
117,,14452
118,,14555
119,,14889
120,,15170
121,,15341
122,,15985
123,,16286
124,,16486
125,,16661
126,,17182
127,,16630
128,,18018
129,,18232
130,,18449
131,,18736
132,,19165
133,,19613
134,,19642
135,,20144
136,,20336
137,,20567
138,,21101
139,,21313
140,,21304
141,,21621
142,,22142
143,,22090
144,,22520
145,,22651
146,,23195
147,,23468
148,,23593
149,,23880
150,,24274
151,,24639
152,,25038
153,,25203
154,,25005
155,,25597
156,,25969
157,,26375
158,,26236
159,,25742
160,,26850
161,,27071
162,,27387
163,,27381
164,,27489
165,,28252
166,,27877
167,,28011
168,,28309
169,,29007
170,,28661
171,,28577
172,,28273
173,,29118
174,,28915
175,,29023
176,,29347
177,,29355
178,,29332
179,,29345
180,,29384
181,,29427
182,,29510
183,,30014
184,,30019
185,,29639
186,,30287
187,,30387
188,,30198
189,,30610
190,,30440
191,,29798
192,,30589
193,,31239
194,,30919
195,,31238
196,,30730
197,,31317
198,,31139
199,,31219
200,,31443
201,,31266
202,,31325
203,,31629
204,,31394
205,,31520
206,,31694
207,,31124
208,,31876
209,,31641
210,,31752
211,,31672
212,,31487
213,,31816
214,,32086
215,,31971
216,,31768
217,,31711
218,,31831
219,,32003
220,,31910
221,,31633
222,,31728
223,,31214
224,,31384
225,,32027
226,,32096
227,,31854
228,,31984
229,,32007
230,,31583
231,,31726
232,,32011
233,,31821
234,,31322
235,,31702
236,,31634
237,,32033
238,,31655
239,,31970
240,,31326
241,,31893
242,,31346
243,,31904
244,,31350
245,,31989
246,,31855
247,,32031
248,,31356
249,,31729
250,,31903
251,,31613
252,,31413
253,,31475
254,,31520
255,,29779
256,,31307
257,,31110
258,,31224
259,,31079
260,,31067
261,,31280
262,,31075
263,,30949
264,,30823
265,,30749
266,,30625
267,,31043
268,,30432
269,,30862
270,,30766
271,,30126
272,,30805
273,,30221
274,,30542
275,,30516
276,,30087
277,,30416
278,,30100
279,,30097
280,,30069
281,,30047
282,,29770
283,,29805
284,,29776
285,,29493
286,,29489
287,,28929
288,,29729
289,,29715
290,,29487
291,,29089
292,,29516
293,,29206
294,,28920
295,,28872
296,,28625
297,,28993
298,,28569
299,,28919
300,,28369
301,,28344
302,,28506
303,,28185
304,,27978
305,,28298
306,,28194
307,,27597
308,,27887
309,,27781
310,,27623
311,,27672
312,,27468
313,,27401
314,,27096
315,,27063
316,,26917
317,,26950
318,,26755
319,,25917
320,,26661
321,,26900
322,,26321
323,,26567
324,,26246
325,,26362
326,,26398
327,,26010
328,,25850
329,,25902
330,,25576
331,,26027
332,,25800
333,,25503
334,,25616
335,,25110
336,,25270
337,,25140
338,,25245
339,,25119
340,,25107
341,,24784
342,,24820
343,,24426
344,,24300
345,,24476
346,,24471
347,,24598
348,,24223
349,,24408
350,,23919
351,,23698
352,,23708
353,,23706
354,,23662
355,,23627
356,,23422
357,,23574
358,,23411
359,,23433
360,,23132
361,,23088
362,,22844
363,,23121
364,,22670
365,,22680
366,,22701
367,,22482
368,,22370
369,,22756
370,,22333
371,,22358
372,,22414
373,,22123
374,,22291
375,,21975
376,,21769
377,,21853
378,,21744
379,,21790
380,,21330
381,,21867
382,,21542
383,,21051
384,,21340
385,,21554
386,,20994
387,,21172
388,,21204
389,,21125
390,,20817
391,,21151
392,,20870
393,,20940
394,,20809
395,,20394
396,,20322
397,,20571
398,,20537
399,,20343
400,,20287
401,,20419
402,,20405
403,,19983
404,,19942
405,,20046
406,,19789
407,,20036
408,,19938
409,,19702
410,,19751
411,,19758
412,,19326
413,,19548
414,,19446
415,,18874
416,,18996
417,,19249
418,,18817
419,,19107
420,,19022
421,,18896
422,,18940
423,,18954
424,,18909
425,,18715
426,,18853
427,,18541
428,,18476
429,,18467
430,,18422
431,,17975
432,,18241
433,,18343
434,,17896
435,,18106
436,,18024
437,,18058
438,,17722
439,,17940
440,,17704
441,,17600
442,,17585
443,,17273
444,,17453
445,,17566
446,,17343
447,,16943
448,,16859
449,,17364
450,,17140
451,,17051
452,,17080
453,,17128
454,,16802
455,,16944
456,,16689
457,,16856
458,,16893
459,,16713
460,,16606
461,,16499
462,,16272
463,,16337
464,,16251
465,,16287
466,,16488
467,,16203
468,,16133
469,,16275
470,,15929
471,,16128
472,,15934
473,,15917
474,,15613
475,,15985
476,,15898
477,,15954
478,,15604
479,,15460
480,,15477
481,,15641
482,,15517
483,,15490
484,,15350
485,,15518
486,,15265
487,,15408
488,,15219
489,,15313
490,,15150
491,,15386
492,,14987
493,,15277
494,,14957
495,,15160
496,,14849
497,,15082
498,,14980
499,,15011
500,,14871
501,,14859
502,,14768
503,,15102
504,,14502
505,,14742
506,,14742
507,,14915
508,,14591
509,,14848
510,,14507
511,,14174
512,,14658
513,,14431
514,,14808
515,,14504
516,,14382
517,,14513
518,,14411
519,,14232
520,,14232
521,,14078
522,,13922
523,,14118
524,,13915
525,,13868
526,,13790
527,,13687
528,,13905
529,,13711
530,,13504
531,,13465
532,,13427
533,,13411
534,,13337
535,,13243
536,,13436
537,,13257
538,,13074
539,,13146
540,,13055
541,,12880
542,,12789
543,,12631
544,,12687
545,,12605
546,,12454
547,,12280
548,,12198
549,,12303
550,,12177
551,,11974
552,,12012
553,,12082
554,,11943
555,,12033
556,,11626
557,,11589
558,,11584
559,,11410
560,,11492
561,,11511
562,,11405
563,,11177
564,,11285
565,,11147
566,,11174
567,,11098
568,,10898
569,,10884
570,,10825
571,,10746
572,,10894
573,,10559
574,,10560
575,,10026
576,,10412
577,,10365
578,,10446
579,,10420
580,,10416
581,,10259
582,,10240
583,,10091
584,,10127
585,,10233
586,,9712
587,,10216
588,,9957
589,,9839
590,,9927
591,,9679
592,,9689
593,,9609
594,,9696
595,,9673
596,,9681
597,,9655
598,,9573
599,,9497
600,,9563
601,,9561
602,,9531
603,,9482
604,,9517
605,,9512
606,,9444
607,,9196
608,,9141
609,,9442
610,,9208
611,,9092
612,,9186
613,,9005
614,,9014
615,,9299
616,,8924
617,,8945
618,,8785
619,,9101
620,,8875
621,,9014
622,,8797
623,,8594
624,,8974
625,,8754
626,,8741
627,,8898
628,,8716
629,,8825
630,,8673
631,,8653
632,,8544
633,,8441
634,,8714
635,,8481
636,,8493
637,,8451
638,,8504
639,,8163
640,,8377
641,,8465
642,,8171
643,,8367
644,,8250
645,,8366
646,,8357
647,,8058
648,,8054
649,,8212
650,,8088
651,,8011
652,,8107
653,,8181
654,,8098
655,,8049
656,,7757
657,,8222
658,,7934
659,,7841
660,,7824
661,,7743
662,,7752
663,,8032
664,,7698
665,,7527
666,,7622
667,,7719
668,,7584
669,,7461
670,,7540
671,,7284
672,,7510
673,,7481
674,,7315
675,,7457
676,,7316
677,,7313
678,,7239
679,,7227
680,,7313
681,,7276
682,,7309
683,,7163
684,,7310
685,,6927
686,,7172
687,,6798
688,,6922
689,,7155
690,,7010
691,,6847
692,,6905
693,,7017
694,,6860
695,,6876
696,,6781
697,,6855
698,,6691
699,,6641
700,,6624
701,,6803
702,,6640
703,,6494
704,,6553
705,,6688
706,,6574
707,,6555
708,,6686
709,,6467
710,,6488
711,,6615
712,,6483
713,,6568
714,,6468
715,,6642
716,,6569
717,,6538
718,,6351
719,,6445
720,,6445
721,,6437
722,,6481
723,,6342
724,,6280
725,,6367
726,,6242
727,,6358
728,,6245
729,,6336
730,,6419
731,,6162
732,,6070
733,,6259
734,,6297
735,,6114
736,,6111
737,,6162
738,,6256
739,,6185
740,,6222
741,,6266
742,,6209
743,,6182
744,,6034
745,,6139
746,,6178
747,,6152
748,,6103
749,,5951
750,,6015
751,,6017
752,,5989
753,,6137
754,,5845
755,,6240
756,,6018
757,,6046
758,,6021
759,,5995
760,,5884
761,,5875
762,,5892
763,,5999
764,,5762
765,,5834
766,,5842
767,,5692
768,,5746
769,,5798
770,,5720
771,,5744
772,,5662
773,,5715
774,,5673
775,,5774
776,,5636
777,,5670
778,,5576
779,,5746
780,,5414
781,,5630
782,,5357
783,,5399
784,,5403
785,,5496
786,,5307
787,,5401
788,,5219
789,,5384
790,,5198
791,,5419
792,,5283
793,,5212
794,,5395
795,,5175
796,,5152
797,,5178
798,,5118
799,,5028
800,,5187
801,,5063
802,,4978
803,,5045
804,,5028
805,,4979
806,,4988
807,,5002
808,,4907
809,,4791
810,,4848
811,,4841
812,,4843
813,,4794
814,,4674
815,,4697
816,,4720
817,,4666
818,,4576
819,,4609
820,,4659
821,,4757
822,,4617
823,,4561
824,,4527
825,,4538
826,,4300
827,,4398
828,,4140
829,,4493
830,,4376
831,,4258
832,,4351
833,,4276
834,,4469
835,,4229
836,,4231
837,,4237
838,,4283
839,,4330
840,,4174
841,,4360
842,,4197
843,,4233
844,,4184
845,,4187
846,,4214
847,,4137
848,,4154
849,,4087
850,,4137
851,,4089
852,,4073
853,,4093
854,,3945
855,,4006
856,,3944
857,,4051
858,,3907
859,,4047
860,,3966
861,,4028
862,,3993
863,,3855
864,,3930
865,,3990
866,,3856
867,,3783
868,,3880
869,,3927
870,,3859
871,,3897
872,,3791
873,,3790
874,,3817
875,,3938
876,,3753
877,,3863
878,,3787
879,,3805
880,,3719
881,,3802
882,,3730
883,,3790
884,,3746
885,,3773
886,,3644
887,,3822
888,,3719
889,,3681
890,,3681
891,,3638
892,,3662
893,,3607
894,,3717
895,,3603
896,,3631
897,,3693
898,,3578
899,,3760
900,,3490
901,,3523
902,,3612
903,,3548
904,,3522
905,,3546
906,,3529
907,,3596
908,,3591
909,,3433
910,,3528
911,,3544
912,,3436
913,,3574
914,,3560
915,,3577
916,,3544
917,,3490
918,,3413
919,,3502
920,,3393
921,,3498
922,,3456
923,,3462
924,,3446
925,,3441
926,,3504
927,,3370
928,,3392
929,,3454
930,,3395
931,,3463
932,,3443
933,,3433
934,,3314
