Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,130.78
Elapsed Live Time:,129.6
Start Time:,April 15, 2023, 06:44:18
End Time:,April 15, 2023, 06:47:51
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,1
1,,0
2,,0
3,,0
4,,0
5,,1
6,,0
7,,0
8,,1
9,,0
10,,0
11,,0
12,,0
13,,1
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,1
23,,0
24,,1
25,,3
26,,10
27,,23
28,,31
29,,23
30,,24
31,,39
32,,23
33,,31
34,,23
35,,21
36,,29
37,,34
38,,29
39,,39
40,,27
41,,35
42,,51
43,,46
44,,45
45,,45
46,,52
47,,56
48,,46
49,,49
50,,36
51,,42
52,,66
53,,48
54,,48
55,,69
56,,65
57,,50
58,,44
59,,45
60,,54
61,,37
62,,46
63,,53
64,,43
65,,47
66,,63
67,,63
68,,42
69,,56
70,,47
71,,53
72,,54
73,,66
74,,61
75,,68
76,,48
77,,65
78,,44
79,,53
80,,66
81,,51
82,,59
83,,56
84,,51
85,,48
86,,47
87,,41
88,,48
89,,56
90,,52
91,,48
92,,57
93,,55
94,,43
95,,52
96,,47
97,,60
98,,46
99,,49
100,,57
101,,66
102,,52
103,,58
104,,51
105,,45
106,,56
107,,44
108,,54
109,,46
110,,56
111,,55
112,,74
113,,53
114,,66
115,,53
116,,53
117,,50
118,,50
119,,54
120,,72
121,,63
122,,58
123,,74
124,,75
125,,65
126,,67
127,,55
128,,73
129,,53
130,,84
131,,75
132,,63
133,,66
134,,56
135,,63
136,,79
137,,70
138,,68
139,,77
140,,77
141,,74
142,,82
143,,87
144,,82
145,,85
146,,67
147,,96
148,,95
149,,75
150,,99
151,,83
152,,88
153,,83
154,,108
155,,101
156,,114
157,,108
158,,107
159,,105
160,,108
161,,117
162,,113
163,,102
164,,125
165,,128
166,,109
167,,120
168,,133
169,,118
170,,86
171,,104
172,,102
173,,111
174,,118
175,,105
176,,120
177,,102
178,,114
179,,108
180,,102
181,,88
182,,110
183,,106
184,,83
185,,101
186,,112
187,,81
188,,96
189,,99
190,,95
191,,87
192,,77
193,,96
194,,85
195,,99
196,,83
197,,85
198,,105
199,,73
200,,84
201,,73
202,,82
203,,90
204,,98
205,,74
206,,87
207,,85
208,,88
209,,98
210,,87
211,,67
212,,92
213,,77
214,,60
215,,92
216,,77
217,,74
218,,90
219,,82
220,,91
221,,89
222,,80
223,,70
224,,82
225,,77
226,,80
227,,93
228,,85
229,,105
230,,73
231,,78
232,,77
233,,77
234,,78
235,,78
236,,85
237,,69
238,,78
239,,86
240,,84
241,,70
242,,72
243,,83
244,,89
245,,95
246,,86
247,,91
248,,66
249,,79
250,,71
251,,100
252,,72
253,,92
254,,74
255,,74
256,,91
257,,79
258,,71
259,,78
260,,79
261,,77
262,,90
263,,76
264,,81
265,,66
266,,82
267,,60
268,,75
269,,66
270,,87
271,,59
272,,76
273,,98
274,,82
275,,68
276,,70
277,,91
278,,100
279,,93
280,,81
281,,85
282,,81
283,,82
284,,63
285,,98
286,,92
287,,78
288,,79
289,,76
290,,82
291,,87
292,,78
293,,99
294,,57
295,,75
296,,80
297,,89
298,,89
299,,72
300,,94
301,,71
302,,80
303,,63
304,,75
305,,74
306,,73
307,,82
308,,78
309,,90
310,,66
311,,80
312,,84
313,,76
314,,79
315,,59
316,,79
317,,68
318,,65
319,,81
320,,80
321,,77
322,,77
323,,78
324,,76
325,,103
326,,80
327,,77
328,,88
329,,80
330,,81
331,,85
332,,75
333,,95
334,,89
335,,100
336,,77
337,,81
338,,90
339,,79
340,,79
341,,83
342,,89
343,,80
344,,69
345,,69
346,,82
347,,78
348,,93
349,,75
350,,77
351,,92
352,,78
353,,85
354,,98
355,,98
356,,76
357,,76
358,,81
359,,91
360,,79
361,,93
362,,84
363,,85
364,,92
365,,83
366,,77
367,,68
368,,86
369,,83
370,,86
371,,76
372,,79
373,,65
374,,85
375,,73
376,,81
377,,78
378,,92
379,,80
380,,83
381,,77
382,,68
383,,97
384,,98
385,,88
386,,113
387,,111
388,,84
389,,79
390,,81
391,,86
392,,75
393,,82
394,,75
395,,77
396,,76
397,,78
398,,86
399,,75
400,,71
401,,89
402,,80
403,,81
404,,80
405,,85
406,,72
407,,77
408,,88
409,,81
410,,78
411,,69
412,,82
413,,74
414,,78
415,,85
416,,97
417,,86
418,,83
419,,66
420,,84
421,,71
422,,90
423,,77
424,,83
425,,90
426,,82
427,,89
428,,88
429,,90
430,,72
431,,81
432,,66
433,,90
434,,69
435,,58
436,,73
437,,75
438,,62
439,,73
440,,91
441,,92
442,,71
443,,59
444,,85
445,,70
446,,61
447,,87
448,,72
449,,91
450,,85
451,,68
452,,89
453,,73
454,,58
455,,80
456,,80
457,,83
458,,70
459,,64
460,,63
461,,75
462,,79
463,,77
464,,66
465,,91
466,,65
467,,73
468,,74
469,,66
470,,78
471,,81
472,,63
473,,70
474,,81
475,,84
476,,76
477,,67
478,,62
479,,69
480,,86
481,,83
482,,77
483,,85
484,,77
485,,68
486,,69
487,,85
488,,73
489,,80
490,,86
491,,82
492,,70
493,,94
494,,67
495,,72
496,,73
497,,64
498,,84
499,,77
500,,73
501,,82
502,,67
503,,69
504,,70
505,,69
506,,66
507,,65
508,,60
509,,55
510,,67
511,,72
512,,69
513,,68
514,,58
515,,86
516,,70
517,,84
518,,83
519,,78
520,,69
521,,86
522,,78
523,,63
524,,66
525,,64
526,,73
527,,68
528,,88
529,,60
530,,61
531,,58
532,,66
533,,60
534,,64
535,,65
536,,65
537,,75
538,,75
539,,40
540,,62
541,,69
542,,67
543,,67
544,,67
545,,73
546,,71
547,,62
548,,58
549,,92
550,,63
551,,60
552,,64
553,,63
554,,71
555,,77
556,,60
557,,62
558,,80
559,,66
560,,63
561,,75
562,,66
563,,74
564,,70
565,,75
566,,52
567,,83
568,,65
569,,56
570,,70
571,,63
572,,54
573,,66
574,,61
575,,65
576,,64
577,,75
578,,58
579,,67
580,,59
581,,57
582,,70
583,,53
584,,57
585,,77
586,,79
587,,63
588,,72
589,,65
590,,60
591,,62
592,,56
593,,75
594,,67
595,,50
596,,61
597,,77
598,,57
599,,57
600,,69
601,,55
602,,61
603,,54
604,,65
605,,58
606,,54
607,,73
608,,59
609,,68
610,,68
611,,78
612,,54
613,,61
614,,67
615,,71
616,,49
617,,52
618,,60
619,,75
620,,58
621,,82
622,,70
623,,64
624,,59
625,,66
626,,65
627,,58
628,,62
629,,76
630,,63
631,,57
632,,70
633,,60
634,,68
635,,52
636,,54
637,,53
638,,64
639,,61
640,,65
641,,49
642,,62
643,,56
644,,69
645,,66
646,,69
647,,64
648,,61
649,,61
650,,60
651,,56
652,,60
653,,54
654,,55
655,,58
656,,65
657,,63
658,,64
659,,62
660,,59
661,,51
662,,55
663,,59
664,,56
665,,65
666,,51
667,,65
668,,66
669,,76
670,,59
671,,53
672,,57
673,,70
674,,47
675,,53
676,,52
677,,56
678,,53
679,,71
680,,57
681,,49
682,,64
683,,54
684,,58
685,,52
686,,53
687,,48
688,,61
689,,51
690,,62
691,,48
692,,63
693,,53
694,,52
695,,59
696,,70
697,,46
698,,57
699,,44
700,,58
701,,48
702,,48
703,,48
704,,52
705,,54
706,,51
707,,47
708,,63
709,,61
710,,49
711,,43
712,,51
713,,36
714,,41
715,,58
716,,41
717,,45
718,,48
719,,46
720,,45
721,,38
722,,44
723,,37
724,,44
725,,35
726,,42
727,,43
728,,53
729,,56
730,,39
731,,50
732,,39
733,,45
734,,42
735,,40
736,,37
737,,38
738,,41
739,,34
740,,45
741,,40
742,,46
743,,31
744,,51
745,,43
746,,53
747,,40
748,,37
749,,42
750,,44
751,,32
752,,42
753,,34
754,,38
755,,44
756,,39
757,,45
758,,39
759,,36
760,,27
761,,37
762,,37
763,,43
764,,32
765,,32
766,,42
767,,41
768,,27
769,,32
770,,44
771,,34
772,,34
773,,39
774,,35
775,,36
776,,30
777,,41
778,,29
779,,32
780,,27
781,,32
782,,30
783,,35
784,,28
785,,37
786,,36
787,,34
788,,29
789,,26
790,,29
791,,36
792,,30
793,,35
794,,36
795,,38
796,,28
797,,36
798,,40
799,,25
800,,32
801,,35
802,,36
803,,35
804,,40
805,,32
806,,31
807,,38
808,,29
809,,28
810,,38
811,,31
812,,36
813,,39
814,,31
815,,31
816,,22
817,,35
818,,25
819,,34
820,,34
821,,30
822,,32
823,,32
824,,30
825,,32
826,,24
827,,33
828,,34
829,,29
830,,38
831,,37
832,,24
833,,26
834,,29
835,,41
836,,28
837,,30
838,,19
839,,26
840,,36
841,,33
842,,31
843,,29
844,,39
845,,31
846,,31
847,,27
848,,35
849,,32
850,,29
851,,29
852,,27
853,,27
854,,30
855,,17
856,,26
857,,29
858,,25
859,,18
860,,30
861,,28
862,,26
863,,25
864,,27
865,,21
866,,29
867,,28
868,,27
869,,20
870,,24
871,,19
872,,28
873,,26
874,,24
875,,23
876,,19
877,,23
878,,21
879,,31
880,,34
881,,31
882,,21
883,,22
884,,23
885,,20
886,,23
887,,29
888,,29
889,,19
890,,27
891,,23
892,,27
893,,25
894,,22
895,,28
896,,15
897,,30
898,,32
899,,22
900,,27
901,,28
902,,30
903,,17
904,,19
905,,29
906,,29
907,,17
908,,31
909,,33
910,,26
911,,32
912,,27
913,,27
914,,23
915,,22
916,,17
917,,27
918,,29
919,,22
920,,19
921,,19
922,,21
923,,30
924,,37
925,,26
926,,23
927,,29
928,,16
929,,24
930,,22
931,,31
932,,28
933,,26
934,,18
935,,13
936,,21
937,,32
938,,26
939,,31
940,,26
941,,25
942,,19
943,,21
944,,30
945,,31
946,,32
947,,36
948,,34
949,,20
950,,34
951,,22
952,,24
953,,23
954,,21
955,,19
956,,23
957,,27
958,,32
959,,26
960,,24
961,,22
962,,27
963,,25
964,,31
965,,22
966,,25
967,,22
968,,22
969,,26
970,,25
971,,20
972,,26
973,,23
974,,27
975,,22
976,,31
977,,34
978,,28
979,,33
980,,28
