Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,109.21
Elapsed Live Time:,108.4
Start Time:,April 15, 2023, 06:28:15
End Time:,April 15, 2023, 06:30:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,1
1,,0
2,,0
3,,0
4,,0
5,,1
6,,1
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,1
19,,0
20,,0
21,,0
22,,0
23,,0
24,,1
25,,0
26,,5
27,,13
28,,9
29,,24
30,,13
31,,14
32,,19
33,,21
34,,19
35,,16
36,,21
37,,32
38,,25
39,,26
40,,33
41,,32
42,,30
43,,25
44,,33
45,,25
46,,33
47,,28
48,,39
49,,27
50,,24
51,,36
52,,41
53,,43
54,,34
55,,30
56,,24
57,,42
58,,39
59,,30
60,,42
61,,38
62,,24
63,,28
64,,32
65,,41
66,,26
67,,30
68,,38
69,,27
70,,23
71,,41
72,,33
73,,42
74,,35
75,,41
76,,28
77,,36
78,,32
79,,45
80,,39
81,,32
82,,29
83,,37
84,,41
85,,43
86,,37
87,,30
88,,44
89,,40
90,,45
91,,44
92,,46
93,,33
94,,34
95,,33
96,,31
97,,31
98,,34
99,,34
100,,41
101,,41
102,,39
103,,40
104,,35
105,,37
106,,35
107,,37
108,,44
109,,48
110,,47
111,,45
112,,40
113,,45
114,,47
115,,48
116,,52
117,,43
118,,52
119,,33
120,,49
121,,40
122,,55
123,,40
124,,57
125,,61
126,,50
127,,62
128,,49
129,,55
130,,61
131,,49
132,,68
133,,61
134,,54
135,,60
136,,53
137,,60
138,,81
139,,68
140,,52
141,,59
142,,58
143,,76
144,,55
145,,71
146,,86
147,,62
148,,70
149,,70
150,,51
151,,83
152,,64
153,,82
154,,65
155,,69
156,,80
157,,73
158,,63
159,,73
160,,71
161,,69
162,,60
163,,90
164,,73
165,,79
166,,75
167,,67
168,,63
169,,68
170,,84
171,,68
172,,85
173,,87
174,,75
175,,80
176,,83
177,,83
178,,84
179,,75
180,,67
181,,85
182,,84
183,,97
184,,71
185,,93
186,,68
187,,97
188,,83
189,,71
190,,90
191,,73
192,,74
193,,90
194,,78
195,,76
196,,79
197,,83
198,,93
199,,94
200,,83
201,,76
202,,82
203,,90
204,,95
205,,95
206,,97
207,,90
208,,110
209,,101
210,,80
211,,81
212,,86
213,,104
214,,84
215,,86
216,,87
217,,101
218,,84
219,,91
220,,113
221,,109
222,,88
223,,78
224,,81
225,,89
226,,85
227,,90
228,,91
229,,102
230,,85
231,,77
232,,96
233,,77
234,,87
235,,81
236,,79
237,,93
238,,105
239,,105
240,,90
241,,93
242,,89
243,,85
244,,88
245,,71
246,,83
247,,77
248,,88
249,,104
250,,100
251,,94
252,,94
253,,86
254,,83
255,,87
256,,90
257,,106
258,,79
259,,92
260,,99
261,,109
262,,90
263,,93
264,,90
265,,81
266,,76
267,,91
268,,88
269,,92
270,,74
271,,81
272,,93
273,,92
274,,101
275,,93
276,,86
277,,90
278,,90
279,,91
280,,90
281,,109
282,,83
283,,83
284,,105
285,,88
286,,84
287,,76
288,,79
289,,97
290,,88
291,,91
292,,86
293,,82
294,,87
295,,72
296,,88
297,,93
298,,74
299,,74
300,,87
301,,87
302,,85
303,,88
304,,79
305,,81
306,,74
307,,84
308,,77
309,,74
310,,97
311,,80
312,,92
313,,82
314,,88
315,,79
316,,77
317,,84
318,,82
319,,86
320,,58
321,,79
322,,73
323,,78
324,,78
325,,79
326,,60
327,,76
328,,78
329,,96
330,,78
331,,81
332,,94
333,,82
334,,78
335,,79
336,,61
337,,96
338,,72
339,,85
340,,93
341,,81
342,,89
343,,77
344,,85
345,,72
346,,86
347,,86
348,,79
349,,66
350,,79
351,,87
352,,71
353,,76
354,,74
355,,91
356,,75
357,,66
358,,92
359,,84
360,,104
361,,84
362,,96
363,,79
364,,91
365,,87
366,,65
367,,87
368,,73
369,,87
370,,80
371,,77
372,,65
373,,97
374,,93
375,,82
376,,72
377,,84
378,,94
379,,91
380,,64
381,,83
382,,100
383,,78
384,,79
385,,77
386,,93
387,,76
388,,74
389,,86
390,,91
391,,80
392,,88
393,,70
394,,84
395,,65
396,,72
397,,65
398,,81
399,,85
400,,80
401,,71
402,,65
403,,64
404,,60
405,,63
406,,84
407,,68
408,,74
409,,53
410,,70
411,,64
412,,67
413,,83
414,,65
415,,75
416,,59
417,,64
418,,60
419,,68
420,,61
421,,83
422,,67
423,,75
424,,73
425,,67
426,,75
427,,56
428,,62
429,,75
430,,62
431,,80
432,,64
433,,64
434,,70
435,,72
436,,83
437,,52
438,,74
439,,60
440,,71
441,,63
442,,65
443,,57
444,,61
445,,59
446,,81
447,,74
448,,71
449,,69
450,,60
451,,66
452,,56
453,,60
454,,78
455,,72
456,,75
457,,59
458,,73
459,,72
460,,69
461,,60
462,,55
463,,57
464,,55
465,,70
466,,65
467,,65
468,,64
469,,59
470,,60
471,,77
472,,60
473,,52
474,,66
475,,62
476,,65
477,,58
478,,66
479,,53
480,,66
481,,67
482,,61
483,,64
484,,66
485,,50
486,,56
487,,72
488,,56
489,,61
490,,52
491,,57
492,,73
493,,65
494,,52
495,,46
496,,66
497,,51
498,,55
499,,62
500,,63
501,,58
502,,49
503,,59
504,,60
505,,57
506,,42
507,,49
508,,55
509,,65
510,,58
511,,52
512,,49
513,,73
514,,68
515,,47
516,,46
517,,60
518,,47
519,,48
520,,62
521,,58
522,,47
523,,48
524,,46
525,,51
526,,49
527,,58
528,,57
529,,57
530,,51
531,,61
532,,60
533,,59
534,,57
535,,49
536,,58
537,,51
538,,45
539,,51
540,,44
541,,41
542,,48
543,,44
544,,38
545,,59
546,,51
547,,49
548,,47
549,,49
550,,53
551,,60
552,,48
553,,54
554,,55
555,,44
556,,41
557,,50
558,,35
559,,40
560,,52
561,,47
562,,51
563,,48
564,,40
565,,52
566,,48
567,,51
568,,56
569,,36
570,,44
571,,55
572,,46
573,,53
574,,48
575,,54
576,,52
577,,46
578,,44
579,,58
580,,47
581,,42
582,,44
583,,53
584,,47
585,,40
586,,44
587,,54
588,,47
589,,47
590,,30
591,,45
592,,43
593,,42
594,,47
595,,48
596,,43
597,,57
598,,43
599,,43
600,,51
601,,63
602,,41
603,,49
604,,39
605,,42
606,,36
607,,36
608,,35
609,,36
610,,41
611,,47
612,,38
613,,47
614,,31
615,,41
616,,44
617,,40
618,,49
619,,43
620,,47
621,,45
622,,33
623,,44
624,,44
625,,53
626,,39
627,,43
628,,37
629,,30
630,,42
631,,41
632,,42
633,,43
634,,55
635,,29
636,,45
637,,47
638,,41
639,,45
640,,41
641,,42
642,,35
643,,54
644,,34
645,,38
646,,45
647,,43
648,,45
649,,45
650,,36
651,,38
652,,39
653,,34
654,,38
655,,41
656,,38
657,,40
658,,38
659,,38
660,,35
661,,39
662,,37
663,,36
664,,42
665,,35
666,,30
667,,43
668,,39
669,,37
670,,34
671,,36
672,,37
673,,34
674,,34
675,,34
676,,37
677,,38
678,,46
679,,26
680,,46
681,,32
682,,28
683,,37
684,,42
685,,31
686,,47
687,,33
688,,34
689,,32
690,,37
691,,46
692,,38
693,,42
694,,42
695,,39
696,,33
697,,34
698,,30
699,,36
700,,25
701,,34
702,,46
703,,36
704,,25
705,,43
706,,37
707,,37
708,,27
709,,37
710,,28
711,,26
712,,32
713,,28
714,,31
715,,27
716,,36
717,,31
718,,40
719,,37
720,,32
721,,32
722,,26
723,,33
724,,31
725,,39
726,,25
727,,27
728,,33
729,,39
730,,39
731,,33
732,,35
733,,39
734,,30
735,,32
736,,22
737,,31
738,,37
739,,30
740,,22
741,,33
742,,31
743,,43
744,,32
745,,30
746,,30
747,,35
748,,31
749,,31
750,,25
751,,36
752,,28
753,,36
754,,30
755,,38
756,,33
757,,27
758,,34
759,,31
760,,23
761,,32
762,,37
763,,26
764,,34
765,,30
766,,29
767,,32
768,,38
769,,40
770,,29
771,,26
772,,35
773,,24
774,,27
775,,22
776,,28
777,,35
778,,29
779,,42
780,,29
781,,34
782,,28
783,,21
784,,20
785,,31
786,,30
787,,33
788,,31
789,,26
790,,19
791,,29
792,,27
793,,27
794,,18
795,,28
796,,26
797,,33
798,,27
799,,29
800,,34
801,,42
802,,26
803,,28
804,,24
805,,31
806,,21
807,,20
808,,36
809,,20
810,,26
811,,22
812,,25
813,,28
814,,23
815,,30
816,,29
817,,22
818,,25
819,,33
820,,25
821,,30
822,,23
823,,32
824,,33
825,,27
826,,28
827,,25
828,,21
829,,23
830,,19
831,,28
832,,31
833,,21
834,,36
835,,20
836,,30
837,,28
838,,23
839,,34
840,,24
841,,30
842,,21
843,,29
844,,26
845,,26
846,,25
847,,27
848,,23
849,,21
850,,17
851,,20
852,,20
853,,20
854,,27
855,,21
856,,28
857,,23
858,,24
859,,25
860,,28
861,,30
862,,36
863,,31
864,,22
865,,22
866,,30
867,,17
868,,20
869,,22
870,,30
871,,26
872,,20
873,,25
874,,23
875,,33
876,,30
877,,20
878,,23
879,,25
880,,27
881,,27
882,,18
883,,28
884,,23
885,,28
886,,25
887,,22
888,,34
889,,25
890,,33
891,,25
892,,23
893,,33
894,,26
895,,21
896,,26
897,,22
898,,26
899,,26
900,,22
901,,21
902,,25
903,,25
904,,15
905,,23
906,,31
907,,26
908,,24
909,,25
910,,32
911,,25
912,,27
913,,28
914,,26
915,,23
916,,21
917,,22
918,,26
919,,27
920,,14
921,,24
922,,23
923,,26
924,,18
925,,23
926,,28
927,,23
928,,30
929,,25
930,,30
931,,34
932,,27
933,,26
934,,21
935,,19
936,,23
937,,25
938,,28
939,,24
940,,24
941,,29
942,,18
943,,32
944,,18
945,,23
946,,31
947,,20
948,,21
949,,21
950,,21
951,,26
952,,24
953,,19
954,,21
955,,24
956,,14
957,,29
958,,28
959,,30
960,,26
961,,25
962,,22
963,,33
964,,32
965,,24
966,,30
967,,27
968,,21
969,,22
970,,20
971,,25
972,,28
973,,26
974,,25
975,,25
976,,28
977,,28
978,,20
979,,21
980,,18
