Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,72.97
Elapsed Live Time:,72.2
Start Time:,April 15, 2023, 06:24:44
End Time:,April 15, 2023, 06:25:57
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,1
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,1
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,1
17,,1
18,,0
19,,0
20,,1
21,,0
22,,0
23,,0
24,,1
25,,2
26,,7
27,,13
28,,9
29,,19
30,,21
31,,16
32,,25
33,,23
34,,29
35,,21
36,,27
37,,20
38,,22
39,,30
40,,27
41,,26
42,,27
43,,26
44,,18
45,,22
46,,40
47,,31
48,,21
49,,28
50,,31
51,,29
52,,43
53,,47
54,,32
55,,30
56,,39
57,,36
58,,38
59,,31
60,,36
61,,43
62,,33
63,,26
64,,33
65,,39
66,,28
67,,33
68,,30
69,,37
70,,54
71,,48
72,,37
73,,31
74,,31
75,,26
76,,42
77,,28
78,,37
79,,26
80,,34
81,,29
82,,29
83,,34
84,,37
85,,37
86,,34
87,,33
88,,32
89,,28
90,,21
91,,38
92,,39
93,,35
94,,36
95,,36
96,,33
97,,36
98,,36
99,,29
100,,44
101,,38
102,,34
103,,31
104,,38
105,,42
106,,35
107,,30
108,,42
109,,47
110,,35
111,,41
112,,32
113,,41
114,,40
115,,43
116,,36
117,,27
118,,42
119,,49
120,,24
121,,49
122,,30
123,,47
124,,46
125,,44
126,,61
127,,31
128,,34
129,,40
130,,36
131,,42
132,,44
133,,47
134,,52
135,,49
136,,36
137,,44
138,,52
139,,49
140,,40
141,,53
142,,50
143,,44
144,,46
145,,38
146,,46
147,,53
148,,49
149,,46
150,,63
151,,46
152,,36
153,,41
154,,55
155,,52
156,,52
157,,64
158,,68
159,,63
160,,59
161,,47
162,,60
163,,59
164,,53
165,,54
166,,51
167,,58
168,,57
169,,38
170,,50
171,,47
172,,62
173,,49
174,,48
175,,40
176,,58
177,,51
178,,53
179,,51
180,,57
181,,43
182,,49
183,,46
184,,57
185,,50
186,,52
187,,50
188,,62
189,,55
190,,64
191,,50
192,,57
193,,48
194,,64
195,,70
196,,53
197,,59
198,,51
199,,60
200,,47
201,,61
202,,55
203,,56
204,,63
205,,55
206,,74
207,,55
208,,52
209,,39
210,,49
211,,58
212,,66
213,,54
214,,55
215,,52
216,,52
217,,64
218,,51
219,,56
220,,70
221,,54
222,,52
223,,63
224,,52
225,,52
226,,66
227,,56
228,,50
229,,47
230,,67
231,,57
232,,62
233,,61
234,,63
235,,60
236,,60
237,,61
238,,65
239,,59
240,,58
241,,66
242,,68
243,,57
244,,46
245,,45
246,,60
247,,59
248,,63
249,,74
250,,62
251,,51
252,,66
253,,51
254,,49
255,,65
256,,61
257,,53
258,,61
259,,58
260,,56
261,,62
262,,53
263,,64
264,,75
265,,52
266,,66
267,,57
268,,64
269,,63
270,,41
271,,48
272,,53
273,,52
274,,65
275,,63
276,,59
277,,62
278,,72
279,,69
280,,65
281,,75
282,,56
283,,52
284,,52
285,,56
286,,66
287,,60
288,,57
289,,59
290,,64
291,,47
292,,59
293,,41
294,,48
295,,48
296,,61
297,,54
298,,39
299,,60
300,,54
301,,57
302,,59
303,,68
304,,56
305,,65
306,,48
307,,56
308,,64
309,,57
310,,64
311,,51
312,,61
313,,61
314,,59
315,,41
316,,62
317,,50
318,,62
319,,42
320,,52
321,,56
322,,52
323,,49
324,,51
325,,56
326,,50
327,,57
328,,68
329,,66
330,,54
331,,66
332,,61
333,,56
334,,51
335,,63
336,,63
337,,53
338,,51
339,,57
340,,63
341,,58
342,,66
343,,59
344,,54
345,,57
346,,66
347,,47
348,,55
349,,42
350,,58
351,,62
352,,73
353,,55
354,,57
355,,64
356,,53
357,,70
358,,55
359,,67
360,,53
361,,61
362,,52
363,,54
364,,68
365,,76
366,,59
367,,55
368,,64
369,,73
370,,67
371,,73
372,,63
373,,69
374,,71
375,,63
376,,61
377,,73
378,,63
379,,53
380,,85
381,,54
382,,72
383,,60
384,,57
385,,74
386,,66
387,,74
388,,64
389,,66
390,,55
391,,58
392,,72
393,,63
394,,76
395,,70
396,,69
397,,74
398,,63
399,,62
400,,52
401,,66
402,,53
403,,48
404,,48
405,,64
406,,66
407,,61
408,,55
409,,51
410,,61
411,,58
412,,71
413,,52
414,,55
415,,53
416,,65
417,,62
418,,69
419,,53
420,,53
421,,48
422,,59
423,,50
424,,60
425,,57
426,,53
427,,57
428,,47
429,,62
430,,71
431,,56
432,,54
433,,67
434,,57
435,,58
436,,56
437,,59
438,,57
439,,56
440,,60
441,,50
442,,59
443,,60
444,,48
445,,60
446,,58
447,,47
448,,56
449,,64
450,,49
451,,48
452,,46
453,,54
454,,47
455,,50
456,,48
457,,54
458,,55
459,,52
460,,59
461,,53
462,,50
463,,38
464,,53
465,,55
466,,50
467,,55
468,,63
469,,58
470,,56
471,,56
472,,49
473,,55
474,,64
475,,62
476,,46
477,,70
478,,64
479,,54
480,,61
481,,58
482,,65
483,,52
484,,66
485,,67
486,,50
487,,59
488,,66
489,,57
490,,56
491,,51
492,,62
493,,59
494,,47
495,,48
496,,56
497,,55
498,,57
499,,54
500,,49
501,,54
502,,55
503,,51
504,,66
505,,58
506,,51
507,,62
508,,50
509,,45
510,,49
511,,66
512,,57
513,,50
514,,56
515,,51
516,,55
517,,51
518,,52
519,,49
520,,58
521,,49
522,,53
523,,36
524,,52
525,,53
526,,53
527,,55
528,,49
529,,59
530,,48
531,,42
532,,52
533,,55
534,,46
535,,46
536,,42
537,,43
538,,43
539,,48
540,,63
541,,36
542,,51
543,,50
544,,43
545,,52
546,,42
547,,46
548,,55
549,,56
550,,45
551,,50
552,,52
553,,45
554,,41
555,,54
556,,53
557,,54
558,,38
559,,41
560,,50
561,,46
562,,30
563,,37
564,,37
565,,50
566,,40
567,,48
568,,52
569,,43
570,,44
571,,47
572,,47
573,,42
574,,50
575,,43
576,,55
577,,51
578,,50
579,,41
580,,46
581,,37
582,,49
583,,47
584,,37
585,,47
586,,55
587,,46
588,,49
589,,42
590,,38
591,,39
592,,46
593,,55
594,,47
595,,44
596,,40
597,,43
598,,38
599,,50
600,,42
601,,39
602,,48
603,,50
604,,49
605,,39
606,,48
607,,30
608,,52
609,,36
610,,40
611,,42
612,,45
613,,44
614,,40
615,,44
616,,45
617,,41
618,,40
619,,50
620,,39
621,,48
622,,40
623,,56
624,,26
625,,48
626,,34
627,,33
628,,36
629,,39
630,,46
631,,34
632,,47
633,,47
634,,44
635,,41
636,,41
637,,39
638,,50
639,,32
640,,34
641,,50
642,,37
643,,44
644,,37
645,,38
646,,46
647,,36
648,,35
649,,47
650,,34
651,,38
652,,29
653,,35
654,,31
655,,48
656,,31
657,,39
658,,36
659,,39
660,,38
661,,32
662,,37
663,,34
664,,31
665,,38
666,,36
667,,33
668,,36
669,,41
670,,38
671,,31
672,,37
673,,28
674,,39
675,,35
676,,35
677,,35
678,,48
679,,35
680,,30
681,,33
682,,38
683,,29
684,,38
685,,39
686,,37
687,,31
688,,32
689,,35
690,,35
691,,38
692,,27
693,,29
694,,40
695,,47
696,,31
697,,27
698,,44
699,,29
700,,36
701,,28
702,,36
703,,31
704,,34
705,,36
706,,32
707,,21
708,,35
709,,38
710,,30
711,,36
712,,34
713,,32
714,,29
715,,32
716,,29
717,,40
718,,24
719,,30
720,,26
721,,34
722,,32
723,,21
724,,32
725,,23
726,,27
727,,23
728,,22
729,,21
730,,31
731,,30
732,,25
733,,27
734,,27
735,,33
736,,27
737,,25
738,,18
739,,20
740,,30
741,,22
742,,22
743,,27
744,,16
745,,26
746,,16
747,,24
748,,25
749,,27
750,,29
751,,19
752,,25
753,,33
754,,25
755,,24
756,,28
757,,27
758,,19
759,,32
760,,28
761,,18
762,,22
763,,13
764,,22
765,,21
766,,25
767,,17
768,,24
769,,17
770,,21
771,,22
772,,21
773,,13
774,,21
775,,9
776,,25
777,,19
778,,21
779,,21
780,,16
781,,15
782,,22
783,,15
784,,13
785,,25
786,,26
787,,19
788,,20
789,,19
790,,14
791,,19
792,,17
793,,30
794,,13
795,,21
796,,18
797,,18
798,,12
799,,18
800,,14
801,,21
802,,15
803,,17
804,,13
805,,17
806,,21
807,,12
808,,17
809,,13
810,,15
811,,14
812,,14
813,,15
814,,17
815,,10
816,,19
817,,17
818,,17
819,,20
820,,16
821,,20
822,,18
823,,19
824,,14
825,,19
826,,13
827,,13
828,,18
829,,15
830,,16
831,,14
832,,14
833,,16
834,,15
835,,13
836,,17
837,,16
838,,8
839,,17
840,,17
841,,18
842,,11
843,,10
844,,10
845,,18
846,,14
847,,13
848,,12
849,,19
850,,13
851,,12
852,,18
853,,7
854,,12
855,,15
856,,14
857,,17
858,,21
859,,18
860,,12
861,,14
862,,8
863,,6
864,,13
865,,13
866,,9
867,,11
868,,4
869,,11
870,,16
871,,10
872,,16
873,,6
874,,13
875,,14
876,,6
877,,8
878,,8
879,,14
880,,12
881,,14
882,,15
883,,11
884,,19
885,,11
886,,11
887,,13
888,,18
889,,12
890,,13
891,,18
892,,12
893,,14
894,,8
895,,9
896,,13
897,,16
898,,6
899,,9
900,,9
901,,14
902,,6
903,,7
904,,17
905,,17
906,,7
907,,15
908,,19
909,,10
910,,11
911,,12
912,,12
913,,10
914,,17
915,,11
916,,19
917,,11
918,,10
919,,13
920,,8
921,,8
922,,8
923,,16
924,,13
925,,10
926,,7
927,,12
928,,15
929,,15
930,,13
931,,5
932,,7
933,,8
934,,15
935,,13
936,,12
937,,9
938,,10
939,,5
940,,10
941,,11
942,,18
943,,7
944,,13
945,,11
946,,9
947,,11
948,,11
949,,11
950,,12
951,,6
952,,6
953,,9
954,,7
955,,14
956,,13
957,,15
958,,9
959,,14
960,,15
961,,13
962,,11
963,,10
964,,9
965,,14
966,,16
967,,6
968,,13
969,,16
970,,16
971,,12
972,,14
973,,15
974,,6
975,,13
976,,12
977,,12
978,,16
979,,12
980,,15
