Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,233.34
Elapsed Live Time:,232.79
Start Time:,April 15, 2023, 06:31:46
End Time:,April 15, 2023, 06:35:40
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,1
22,,0
23,,0
24,,0
25,,2
26,,4
27,,8
28,,14
29,,15
30,,8
31,,11
32,,12
33,,10
34,,18
35,,12
36,,13
37,,17
38,,13
39,,14
40,,17
41,,17
42,,18
43,,14
44,,13
45,,20
46,,16
47,,28
48,,28
49,,21
50,,28
51,,22
52,,18
53,,26
54,,22
55,,15
56,,25
57,,28
58,,25
59,,27
60,,17
61,,11
62,,33
63,,23
64,,16
65,,19
66,,27
67,,17
68,,34
69,,26
70,,29
71,,25
72,,27
73,,39
74,,21
75,,18
76,,36
77,,25
78,,36
79,,25
80,,22
81,,26
82,,25
83,,22
84,,26
85,,25
86,,27
87,,24
88,,25
89,,49
90,,35
91,,27
92,,36
93,,25
94,,32
95,,36
96,,29
97,,27
98,,38
99,,30
100,,28
101,,30
102,,33
103,,27
104,,31
105,,31
106,,40
107,,44
108,,44
109,,33
110,,42
111,,31
112,,30
113,,32
114,,42
115,,27
116,,41
117,,45
118,,48
119,,53
120,,56
121,,54
122,,28
123,,36
124,,48
125,,40
126,,39
127,,44
128,,52
129,,53
130,,60
131,,39
132,,51
133,,56
134,,48
135,,56
136,,67
137,,59
138,,64
139,,60
140,,57
141,,54
142,,69
143,,61
144,,68
145,,68
146,,73
147,,53
148,,64
149,,68
150,,60
151,,55
152,,96
153,,62
154,,77
155,,64
156,,74
157,,78
158,,75
159,,81
160,,77
161,,86
162,,87
163,,90
164,,76
165,,92
166,,94
167,,83
168,,80
169,,91
170,,99
171,,82
172,,91
173,,100
174,,84
175,,76
176,,94
177,,85
178,,88
179,,70
180,,77
181,,83
182,,90
183,,77
184,,81
185,,85
186,,94
187,,93
188,,74
189,,83
190,,105
191,,79
192,,59
193,,82
194,,73
195,,87
196,,87
197,,75
198,,89
199,,97
200,,79
201,,106
202,,77
203,,94
204,,93
205,,80
206,,71
207,,86
208,,80
209,,79
210,,93
211,,91
212,,87
213,,83
214,,69
215,,78
216,,79
217,,85
218,,97
219,,106
220,,79
221,,80
222,,80
223,,87
224,,81
225,,76
226,,93
227,,90
228,,88
229,,101
230,,102
231,,86
232,,84
233,,105
234,,95
235,,74
236,,81
237,,86
238,,103
239,,82
240,,80
241,,84
242,,81
243,,81
244,,72
245,,87
246,,86
247,,93
248,,91
249,,84
250,,73
251,,89
252,,63
253,,87
254,,82
255,,63
256,,82
257,,84
258,,66
259,,78
260,,91
261,,78
262,,89
263,,95
264,,78
265,,84
266,,85
267,,82
268,,80
269,,77
270,,65
271,,87
272,,83
273,,77
274,,96
275,,72
276,,95
277,,78
278,,78
279,,76
280,,80
281,,82
282,,69
283,,76
284,,82
285,,91
286,,75
287,,62
288,,85
289,,85
290,,80
291,,76
292,,67
293,,96
294,,77
295,,90
296,,64
297,,84
298,,81
299,,74
300,,73
301,,71
302,,79
303,,71
304,,75
305,,80
306,,72
307,,83
308,,86
309,,79
310,,90
311,,74
312,,82
313,,75
314,,66
315,,81
316,,90
317,,80
318,,74
319,,88
320,,76
321,,79
322,,90
323,,71
324,,83
325,,65
326,,71
327,,81
328,,77
329,,75
330,,75
331,,70
332,,78
333,,71
334,,75
335,,71
336,,65
337,,74
338,,88
339,,62
340,,73
341,,65
342,,66
343,,71
344,,76
345,,71
346,,65
347,,80
348,,74
349,,68
350,,78
351,,63
352,,65
353,,82
354,,72
355,,73
356,,75
357,,73
358,,82
359,,80
360,,85
361,,77
362,,91
363,,81
364,,73
365,,88
366,,84
367,,83
368,,92
369,,69
370,,74
371,,66
372,,78
373,,87
374,,81
375,,71
376,,75
